Johnna Trantow, Mewtwo, snail
Ms. Fred Schmidt, Venusaur, cod
Miguel Conroy, Slowbro, toad
Wilda Emmerich DVM, Raticate, scorpion
Dr. Kayce Harber, Geodude, giraffe
Emelina Bergstrom, Charmander, skunk
Marin Haley II, Magnemite, monkey
Alvaro O'Conner, Tentacruel, ox
Forrest Mante, Haunter, elk
Orlando Luettgen PhD, Slowpoke, mouse
Cassy Heaney, Growlithe, pig
Reginald Hagenes IV, Charmeleon, horse
Arnulfo Ebert, Nidoking, elk
Miss Drew Wisozk, Ekans, rabbit
Fermina Hahn, Weedle, tortoise
Mr. Mallory Kreiger, Haunter, hare
Alberto Jaskolski, Magmar, leopard
Dr. Hee Kling, Exeggutor, jackal
Mrs. Lupe Ratke, Paras, cheetah
Felisha Becker, Ekans, walrus
Tyler Larkin, Arcanine, swan
Kathi Wilderman, Goldeen, bat
Mitchel Bruen, Diglett, impala
Lavonia Welch, Electrode, salmon
Fred Pagac, Lickitung, scorpion
Gordon Mitchell, Diglett, worm
Nelson Baumbach, Seel, ferret
Minna Hermiston, Gloom, zebra
Damian Witting, Vileplume, cod
Sharie O'Kon I, Oddish, camel
Virginia Wintheiser, Goldeen, cicada
Mrs. Ruby Durgan, Poliwrath, hippopotamus
Jordon Langworth, Seaking, beetle
Roger Macejkovic, Nidoking, bee
Terica Weissnat, Tentacruel, chimpanzee
Noel Brown, Ditto, cockroach
Marcus Romaguera, Ninetales, bee
Jay Kris, Charizard, water buffalo
Dr. Herb Stracke, Vaporeon, porpoise
Sandy Wolf, Voltorb, impala
Nicolasa Stanton, Golbat, tiger
Les Medhurst, Scyther, bat
Ingrid Dare, Cloyster, armadillo
Eilene Emmerich, Rhydon, koala
Moshe Wehner, Eevee, llama
Ms. Karisa Hegmann, Poliwag, herring
Mr. Iluminada DuBuque, Venonat, louse
Kristine Gusikowski, Dragonite, frog
Kattie Cummings, Clefairy, butterfly
Sandy Cummings, Gastly, ox
