Chanel Terry, Nidorina, dog
Lanelle Howe DVM, Kangaskhan, toad
Mrs. Barabara Mitchell, Diglett, coyote
Angel Lueilwitz, Weezing, dolphin
Tamela Lindgren, Gyarados, rat
Clementine Conn, Vulpix, reindeer
Vern Vandervort DDS, Tauros, squirrel
Myrna Doyle, Omastar, hedgehog
Javier Stokes, Magmar, porpoise
Micah Cruickshank, Grimer, cricket
Greg Reichert, Tentacool, mole
Kiesha Hartmann PhD, Geodude, mouse
Arnulfo Tillman, Dratini, caribou
Kenneth Muller IV, Primeape, zebra
Lyla Braun I, Growlithe, mosquito
Laraine Spencer, Victreebel, muskrat
Wally Dickens, Ponyta, reindeer
Mrs. Janessa Cassin, Rattata, oyster
Devon Jast, Moltres, fly
Jeffery Hettinger, Butterfree, koala
Lelah Hauck, Vaporeon, fox
Isabel Schaden, Voltorb, serval
Harland Dooley, Voltorb, hornet
Dane Bernhard, Kabutops, armadillo
Jesica Considine PhD, Pidgeotto, chimpanzee
Graham Lehner, Kingler, impala
Buford Roberts, Staryu, squirrel
Henriette Sauer, Metapod, antelope
Marcela Nikolaus II, Pidgeotto, bear
Aurore Berge, Gloom, yak
Dr. Soraya Howell, Machamp, cattle
Dean Leffler, Growlithe, wildebeest
Casey Bruen III, Dugtrio, cattle
Eloisa Langosh, Bulbasaur, grasshopper
Miss Jaimee Torphy, Rattata, impala
Deandre Leuschke, Pidgeotto, worm
Quinton Romaguera, Sandslash, swan
Dannie Murphy, Mew, herring
Dionne Jenkins, Seadra, manatee
Kasey Bergstrom, Sandslash, panda
Trent Klein, Kangaskhan, eagle
Milford Littel, Meowth, tortoise
Stewart Boyer, Kangaskhan, buffalo
Ramon Morar, Fearow, alpaca
Dr. Kellee Parisian, Nidoran, lion
Miss Shari Lebsack, Charmeleon, raven
Ms. Harry King, Flareon, jackal
Mrs. Mallie Runte, Moltres, duck
Leonie Fisher, Dewgong, alligator
Glen Rice, Omastar, baboon
