Ms. Deedra Blanda, Onix, fox
Alva Johnson, Aerodactyl, tortoise
Nydia Windler, Sandslash, goat
Maia Welch, Zubat, skunk
Long Lind I, Voltorb, snail
Ronald Schmeler, Charmander, mole
Brooks Bradtke III, Venusaur, giraffe
Jonathon Lind, Nidoqueen, oyster
Magdalen Ankunding, Ponyta, gorilla
Julian Luettgen, Butterfree, chinchilla
Mardell Romaguera, Vaporeon, buffalo
Cary Ondricka MD, Hitmonchan, zebra
Many Beahan, Flareon, mammoth
Earnest Wyman Sr., Gyarados, cattle
Elba Cronin, Weepinbell, woodchuck
Sonny Frami, Cloyster, hyena
Collin Simonis, Primeape, antelope
Shannon Kohler, Gloom, bee
Mrs. Sal Langworth, Voltorb, macaw
Dr. Clement Miller, Paras, manatee
Lissette Zulauf, Graveler, mule
Mendy Kunde V, Jolteon, otter
Dr. Sharmaine Runolfsson, Hitmonlee, serval
Tyra Rutherford, Ponyta, oyster
Mathew Leannon, Jynx, kangaroo
Grover Friesen, Hitmonchan, bear
Rickey Douglas II, Wartortle, caribou
Mrs. Otto Turcotte, Magikarp, squirrel
Humberto Streich, Wartortle, fly
Mario Bechtelar, Rapidash, serval
Margarette Hessel, Ivysaur, goat
Elia Reinger, Charizard, squirrel
Miss Carlita Hamill, Sandshrew, lion
Emile Moore, Pikachu, jackal
Leia Ebert, Scyther, armadillo
Vernon King, Venonat, yak
Mrs. Gail Quitzon, Raichu, crab
Ms. Lindsay Marvin, Venonat, manatee
Antoinette Pagac, Seaking, eagle
Alethia Schuster, Kadabra, sea lion
Mose McCullough PhD, Kangaskhan, prairie dog
Aracely Bashirian V, Poliwrath, impala
Thanh Reynolds, Starmie, giraffe
Kristopher Durgan, Nidoking, moose
Ms. Alvin Thiel, Gastly, jellyfish
Kera Kulas, Hypno, hornet
Jan Keeling DVM, Raticate, goat
Lizabeth Kulas, Dragonite, marten
Ivory Ankunding V, Kingler, louse
Dong Kohler II, Nidorina, coyote
