Ouida Ernser MD, Slowpoke, cricket
Vella Huels, Dodrio, hamster
Mr. Rickie McClure, Dragonite, mole
Stacy Borer, Ninetales, goldfish
Desire Bruen, Moltres, cricket
Irina Larson, Golduck, muskrat
Andrea Muller V, Flareon, camel
Louvenia Wiegand, Kabutops, sea lion
Susanne Wiza, Hitmonlee, squirrel
Garrett Schuster, Rattata, butterfly
Winnifred Gulgowski, Electabuzz, cicada
Marlon Hand, Bulbasaur, donkey
Juan Cartwright, Tentacool, serval
Dino Russel DVM, Psyduck, oyster
Pablo Herzog, Meowth, alligator
Stacie Rice, Mew, ape
Monroe Kihn, Bellsprout, weasel
Sallie Boehm, Snorlax, reindeer
Mr. Von Windler, Rattata, bear
Omar Champlin, Omanyte, hare
Ms. Harriet Spencer, Cloyster, toad
Dwight White, Vulpix, hedgehog
Suzan Bode, Raichu, wallaby
Jerald Bins, Zapdos, sea lion
Malik Donnelly, Seaking, hippopotamus
Garth Hintz, Hitmonchan, scorpion
Mr. Song Shanahan, Doduo, mule
Sherice O'Conner, Nidorino, mink
Nisha Cronin, Gastly, ferret
Porter Lind, Staryu, worm
Carlo Block, Abra, rabbit
Oneida Zboncak DDS, Omastar, armadillo
Shameka Mraz, Magnemite, goldfish
Eddy Collier, Articuno, mallard
Ms. Roger Emmerich, Electabuzz, snail
Eliza Anderson, Pikachu, alpaca
Virgil Berge Jr., Magnemite, wildebeest
Mr. Homer Torp, Omanyte, trout
Laci Heaney, Persian, trout
Ms. Dudley Dare, Nidorina, dinosaur
Ms. Aiko Ebert, Geodude, tortoise
Mack West, Clefairy, minnow
Ismael Schuster PhD, Primeape, alligator
Bridgett Turcotte, Koffing, yellowjacket
Simone Cruickshank, Mewtwo, armadillo
Riley Durgan, Raichu, alligator
Jon Dickinson, Magneton, impala
Bradford Cronin, Graveler, chinchilla
Janey Zemlak, Weedle, goat
Ferdinand Bernhard, Slowpoke, elephant
