Ms. Autumn Bogisich, Clefable, squirrel
Jane Towne, Ninetales, reindeer
Mr. Jason Treutel, Metapod, skunk
Daron Johns, Jolteon, chinchilla
Reggie McLaughlin, Exeggcute, cattle
Alvaro Schaden, Raticate, moose
Dustin Breitenberg, Nidorino, ox
Lyda McDermott, Exeggcute, mink
Lane Reynolds, Lickitung, fly
Kasey Emmerich, Seadra, llama
Stan Considine, Tangela, crow
Ladawn Haag, Jolteon, hedgehog
Daniel Dach, Slowbro, mouse
Edward Prosacco, Hypno, pig
Julia Wehner Jr., Diglett, elephant
Zelda Batz, Cloyster, fly
Reva Kshlerin, Jigglypuff, gerbil
Alejandro Hills, Persian, mouse
Benita Goodwin, Parasect, wombat
Lawanda Ryan, Hitmonlee, prairie dog
Milissa Boehm, Aerodactyl, butterfly
Eleni Leffler, Nidorina, cod
Julissa Maggio II, Sandshrew, mule
Ms. Ernesto Zulauf, Clefable, butterfly
Kirsten Blick, Pidgeotto, turtle 
Eleonor Treutel, Sandshrew, clam
Jannie Bartell, Marowak, turtle 
Jay Hauck, Kadabra, hornet
Shelton Fisher, Zapdos, hound
Woodrow Harber, Poliwag, koala
Lavera Lind, Gastly, beaver
Giuseppina McGlynn, Caterpie, butterfly
Gary Beahan, Psyduck, walrus
Mr. Catharine Shields, Charmeleon, ferret
Shery Hahn PhD, Gengar, kangaroo
Ms. Jen Brown, Omanyte, deer
Mr. Sal Leuschke, Kangaskhan, woodchuck
Adriene Langosh, Omanyte, porcupine
Jewel Anderson, Lapras, cat
Erline Schaden, Onix, marten
Jeff Osinski, Scyther, leopard
Lon Lebsack, Metapod, turtle 
Dr. Jesus Leannon, Blastoise, cattle
Dr. Thad Kohler, Moltres, herring
Hannelore Bartoletti, Sandslash, giraffe
Dr. Andera Jenkins, Kabutops, badger
Oren Ryan, Shellder, eel
Ms. Casey Borer, Arbok, cheetah
Carlos Kling II, Dewgong, mammoth
Salena Mertz, Golbat, cod
