Mickey Russel, Kangaskhan, wombat
Dewitt Schneider, Mewtwo, chinchilla
Mrs. Mickey Dach, Mewtwo, goat
Julienne Schmidt, Vileplume, marten
Holli Kessler PhD, Magneton, fly
Miss Jetta Schmeler, Oddish, wombat
Tanesha Zboncak DVM, Gastly, serval
Rudy Schinner, Graveler, fox
Dr. Ernestina Rolfson, Parasect, rabbit
Rudolf Legros, Slowbro, camel
Heriberto Pfeffer, Pikachu, muskrat
Mr. Cassidy Terry, Mankey, crow
Romeo Lehner, Sandshrew, muskrat
Carey Wuckert, Ninetales, jackal
Trevor DuBuque, Diglett, wolf
Miss Ozzie Crooks, Farfetch'd, walrus
Dennise Tremblay V, Pinsir, swan
Mr. Hue Blick, Caterpie, ox
Lan Boehm, Persian, impala
Chassidy Schmidt, Psyduck, wildebeest
Daniel Klein, Wigglytuff, manatee
Alex Kozey, Butterfree, grasshopper
Misti Lynch, Scyther, ox
Mitchell Rath PhD, Slowpoke, gorilla
Mrs. Quintin Lehner, Tentacruel, bat
Kori Anderson, Pinsir, lion
Joelle Weissnat Sr., Vileplume, hornet
Alina VonRueden, Ninetales, mule
Janeth Kling V, Flareon, beetle
Garfield Weimann Sr., Nidorina, sea lion
Sydney Keebler, Caterpie, wildebeest
Ms. Ron Weissnat, Haunter, chinchilla
Miss Gayla Pfannerstill, Staryu, donkey
Damian Kreiger, Goldeen, bear
Otha Casper, Vileplume, badger
Noe Dooley, Pidgeotto, impala
Jimmy Gutmann, Electabuzz, macaw
Dorcas Conroy, Mr. Mime, wildebeest
Noe Reynolds, Geodude, prairie dog
Gale Hauck MD, Ivysaur, ferret
Justa Hodkiewicz, Starmie, salmon
Jayson Goodwin, Jolteon, chimpanzee
Jordon Jaskolski Jr., Magnemite, butterfly
Theresa Schroeder, Golbat, hamster
Mrs. Noelle Morar, Tauros, raccoon
Dominick Boehm, Cubone, bear
Nick Stark, Ekans, dog
Mr. Mirta Leannon, Voltorb, grasshopper
Tien Goyette, Seaking, herring
Vincent Rowe, Rhydon, wombat
