Darell Dietrich, Ekans, mallard
Wilbur Conn, Graveler, mole
Kenneth Cole, Drowzee, mule
Merna Hermann I, Beedrill, guinea pig
Joy Hane, Goldeen, hedgehog
Danika Brekke, Cloyster, rhinoceros
Clarence Donnelly, Gastly, camel
Lauren Senger II, Zubat, scorpion
Fredia Aufderhar, Scyther, platypus
Marlo Gerlach, Mankey, deer
Noe Wilderman, Alakazam, seal
Mickey Paucek, Persian, llama
Harold Hegmann, Electrode, coyote
Winston Mills, Magmar, cicada
Deandrea McDermott, Golbat, woodchuck
Laverna Fisher, Lickitung, clam
Dr. Abbie Kuphal, Kabuto, walrus
Lottie Dickinson, Jigglypuff, donkey
Marco Sanford, Wartortle, manatee
Gus Halvorson Sr., Vaporeon, hound
Ms. Maria Medhurst, Meowth, ferret
Catrina Kuhic, Clefable, wolf
Shaquita Kuvalis, Metapod, crab
Christen Boehm, Venusaur, porcupine
Sanford Bechtelar, Arbok, toad
Bell Cremin, Magnemite, mouse
Lenard Harber III, Victreebel, crow
Ozella Maggio, Golem, wallaby
Jonathan Stiedemann DDS, Vulpix, raccoon
Mrs. Tamar Klein, Hypno, water buffalo
Mr. Milton Spencer, Vileplume, cricket
Gerald Rosenbaum, Poliwhirl, yak
Thurman Roberts, Wartortle, worm
Nicholle Jaskolski Sr., Machoke, woodchuck
Gaynelle Tremblay, Dewgong, zebra
Don Gleichner, Diglett, pig
Babara Adams, Doduo, porpoise
Gertude Roob, Clefable, chimpanzee
Leora Beatty, Nidoran, wasp
Hector Kovacek, Omanyte, goldfish
Lou Homenick, Victreebel, seal
Darell Barton I, Zubat, horse
Miss Franklyn Kuhic, Exeggcute, leopard
Teddy Monahan, Pikachu, tiger
Mr. Edyth Koepp, Pidgeotto, butterfly
Devon McClure, Exeggcute, whale
Season O'Hara, Clefable, mule
Viola Williamson, Vileplume, hamster
Jefferey Quigley, Vulpix, trout
Juana Ryan, Persian, koala
