Dr. Jess Shanahan, Tauros, beaver
Charmain Marquardt Sr., Nidorino, cattle
Santiago Haag Jr., Scyther, trout
Loria Aufderhar II, Raticate, gerbil
Justa Walker, Rhydon, wasp
Juan Rath, Magneton, platypus
Harland Herzog, Gyarados, turtle 
Irma D'Amore, Butterfree, hornet
Morris Witting, Squirtle, ox
Hayden Daugherty, Meowth, wolf
Sheron Zulauf, Ditto, mink
Dr. Levi Lockman, Articuno, cheetah
Sana Daniel DVM, Wartortle, leopard
Nenita O'Kon III, Wigglytuff, gnat
Dr. Odis Glover, Wigglytuff, buffalo
Van Sipes DDS, Drowzee, herring
Rodger Wiza, Weedle, wasp
Mrs. Leora Hyatt, Vaporeon, hyena
Aileen McDermott, Seaking, guinea pig
Adina Spencer, Hitmonlee, grasshopper
Miss Danita Kilback, Vaporeon, platypus
Ms. Carylon Schuster, Geodude, pug
Sherie Jones, Graveler, mallard
Alonso Legros Jr., Nidoran, termite
Camilla Monahan, Psyduck, snake
Aubrey Lockman PhD, Abra, alligator
Dr. Truman Hartmann, Abra, wasp
Edmundo Hartmann, Blastoise, gnu
Mrs. Marci Schaden, Fearow, fly
Anamaria Hills, Snorlax, cricket
Everette Friesen III, Pidgey, cricket
Kera Nienow, Golbat, elephant
Lane Mayert, Charmander, donkey
Phylis Walker, Aerodactyl, worm
Brenda Krajcik, Ninetales, turtle 
Page Reinger DDS, Venomoth, water buffalo
Iola Sanford, Nidoqueen, tortoise
Crista Zulauf III, Gengar, serval
Mrs. Amberly Legros, Slowpoke, rhinoceros
Jermaine Ebert, Clefable, mallard
Bernie Ankunding, Pinsir, raven
Stacey Grant, Golduck, jackal
Carma Hansen, Electabuzz, worm
Miss Mina Ortiz, Clefairy, donkey
Hope Crooks, Electrode, tortoise
Al Gutkowski III, Magikarp, trout
Refugio Hilll PhD, Flareon, crocodile
Harris Gleichner, Geodude, kangaroo
Gloria Quitzon MD, Lapras, tiger
Winfred Tromp, Eevee, water buffalo
