Vern Abbott, Lickitung, ant
Emil Torp, Moltres, ox
Thora Marvin II, Caterpie, whale
Mrs. Sierra Lubowitz, Dragonite, mouse
Jamaal Larkin, Golem, reindeer
Ms. France Wisozk, Ninetales, leopard
Armand Wyman, Weezing, donkey
Jacques Lang, Nidoqueen, butterfly
Javier Hegmann, Machoke, badger
Rachel Daniel, Abra, eel
Leandro Beier, Shellder, wasp
Michael Nitzsche, Hitmonlee, seal
Stacia Frami, Magneton, otter
Rolf Friesen V, Ninetales, mammoth
Dr. Joie Harris, Vaporeon, pug
Iliana Thiel, Dragonite, hippopotamus
Dennis Goyette, Doduo, eagle
Nathaniel Hickle, Articuno, badger
Luz Ledner Jr., Ditto, goat
Tobias Kunde, Rhyhorn, eel
Mickey Kirlin, Hypno, rhinoceros
Janey Purdy, Tentacruel, otter
Brock Schaden, Hitmonlee, weasel
Mel Mertz, Venonat, beaver
Jaye Roob, Golduck, manatee
Ms. Rashad Wolff, Oddish, alpaca
Hobert Abshire II, Staryu, termite
Chadwick Beer, Flareon, crab
Jonathon Spencer, Seaking, clam
Emely Hettinger, Nidoran, rabbit
Truman Lubowitz, Pidgeotto, alligator
Cletus Howe, Jynx, caribou
Orville Romaguera, Ponyta, panda
Ada Bogan II, Zubat, squirrel
Joan Feil Jr., Omanyte, sheep
Ward Dach PhD, Parasect, manatee
Jeanelle Monahan, Rhyhorn, caribou
Mercedez Grimes, Mankey, whale
Noe Bashirian MD, Golbat, elephant
Mrs. Fredrick Satterfield, Krabby, muskrat
Enrique Strosin, Muk, snail
Genaro Lindgren, Mankey, cod
Miss Marion Ritchie, Exeggcute, toad
Mrs. Ilene Reichel, Kabutops, koala
Miss Kate Gerlach, Sandslash, oyster
Blair Murray, Golem, impala
Krista Mitchell, Seaking, hornet
Rickey Smith, Zapdos, weasel
Lorenza Balistreri, Raichu, cicada
Rodolfo Huels, Pidgeotto, crab
