Kieth Reinger, Butterfree, marten
Ms. Chadwick Mohr, Exeggutor, alpaca
Dion Schimmel, Ditto, lizard
Reynaldo Kassulke, Ponyta, raven
Towanda Sauer MD, Exeggcute, fox
Oliver Price, Venomoth, cheetah
Karlyn Gaylord, Magikarp, horse
Yuriko Pollich, Voltorb, goat
Hai Durgan, Weepinbell, ant
Julius Bins, Poliwrath, hound
Dominque Heathcote II, Meowth, muskrat
Albert Koch, Gengar, snake
Raul Grimes, Shellder, alligator
Miss Jae Nikolaus, Weezing, eel
Elena Rath, Ivysaur, lizard
Shanika Schuppe, Raichu, mink
Sheldon Koss, Diglett, reindeer
Cyrstal Steuber Jr., Fearow, butterfly
Major Runolfsson, Lapras, armadillo
Diego Barton, Muk, tortoise
Eliz Bode, Drowzee, koala
Mr. Leslie Berge, Ponyta, hornet
Seema Nitzsche, Pidgey, seal
Winford Walsh, Sandshrew, cricket
Bethel Carroll, Ivysaur, rhinoceros
Miss Isaac Boyer, Metapod, deer
Elvis Mohr, Hitmonchan, snake
Micah Ebert, Voltorb, cicada
Ahmed Treutel, Persian, lizard
Sunny Armstrong, Pikachu, salmon
Marni Lebsack, Abra, worm
Keith Hilpert, Dragonite, chinchilla
Alonso Hyatt, Hitmonlee, wombat
Ms. Mark Smitham, Dodrio, herring
Enrique Blick, Hitmonlee, badger
Kevin Pfannerstill, Weezing, gnat
Albertine Rempel, Machoke, ape
Kortney Marquardt DVM, Parasect, antelope
Eun Senger, Ivysaur, wildebeest
Mr. Timmy Wiza, Pinsir, serval
Wayne Champlin, Cloyster, cheetah
Sammie Rowe, Fearow, cicada
Ms. Garret Lynch, Seel, whale
Earle Roob, Raticate, termite
Clement Crona, Farfetch'd, gerbil
Ms. Angeline Kuphal, Scyther, crab
Eugenio Reynolds, Tauros, grasshopper
Katerine Beatty, Seadra, wildebeest
Ms. Leanna Kerluke, Moltres, alligator
Norah Ankunding, Magnemite, wallaby
