Karolyn Goldner, Parasect, whale
Ms. Landon Zboncak, Kakuna, hippopotamus
Dr. Lupita Cummerata, Dratini, lizard
Celeste Grimes, Zapdos, gnat
Patrina O'Connell, Rapidash, water buffalo
Tyisha Swift, Doduo, herring
Dr. Erwin Bayer, Machamp, dolphin
Sharyl Senger, Slowpoke, toad
Tyler Feeney, Kabuto, jackal
Tory Weimann, Pidgey, skunk
Barbar Paucek, Nidorina, koala
Celeste Jakubowski DVM, Venomoth, alpaca
Marchelle Rippin, Seadra, prairie dog
Cecelia Lehner, Kabutops, pug
Katia Hamill, Clefairy, monkey
Stevie Rutherford, Machoke, serval
Debera Gleichner, Golbat, badger
Kylee Watsica, Mankey, wombat
Tijuana MacGyver, Rhydon, skunk
Bradley Farrell, Lickitung, wombat
Kristina Hilll, Charmander, platypus
Charmain Smith, Sandslash, gerbil
Lewis Waters PhD, Voltorb, clam
Ms. Vito Labadie, Aerodactyl, sheep
Dr. Willow Larson, Magmar, caribou
Mr. Gilma Welch, Poliwag, fox
Fumiko Huels, Kabutops, scorpion
Vincent Gerhold IV, Golbat, caribou
Dulcie Homenick, Ekans, beetle
Marcelo Purdy, Arbok, moose
Zora Harvey, Nidorino, herring
Carlton Ebert, Poliwag, beaver
Leana Zboncak I, Doduo, weasel
Kena Raynor, Golduck, toad
Frances Lind MD, Weezing, moose
Mendy Armstrong, Kadabra, squirrel
Giovanni Fadel, Kabuto, porpoise
Nelle Bartell, Butterfree, goose
Loralee Cassin, Voltorb, toad
Dorotha Treutel I, Venonat, ox
Gregory Morissette, Kangaskhan, woodchuck
Lindsay Stehr, Wigglytuff, chinchilla
Gail Ziemann, Arbok, antelope
Bettina Waelchi II, Pidgeotto, caribou
Makeda Bergstrom, Onix, panda
Damian Kassulke, Oddish, goldfish
Corey Kuvalis V, Squirtle, marten
Miss Nichelle Friesen, Clefable, cod
Garrett Kerluke, Rhydon, hornet
Sean Reynolds, Tentacruel, beetle
