Christena Beatty, Lickitung, snail
Jerold Feest I, Tangela, hamster
Dallas Krajcik, Rhyhorn, fish
Norman Gutkowski, Flareon, eel
Ms. Dale Murray, Victreebel, wasp
Joaquina Lockman, Jynx, serval
Miss Ciara Mills, Vileplume, herring
Alia Vandervort, Venonat, duck
Eli Wisozk, Electrode, lizard
Raleigh Bernhard, Weepinbell, shark
Reagan Parker, Jigglypuff, lizard
Mrs. Martin Corkery, Onix, kangaroo
Claude White, Raichu, porpoise
Guadalupe Kreiger, Drowzee, ant
Miss Nellie Blick, Articuno, ox
Walton Bednar, Seadra, hedgehog
Leroy Purdy IV, Koffing, sea lion
Buena Osinski, Electrode, muskrat
Marna Hane, Kadabra, squirrel
Chantal Kertzmann, Parasect, manatee
Joetta Cole, Kakuna, panda
Dana Thiel II, Porygon, crocodile
Ms. Arturo Boyer, Jynx, goat
Lane Senger, Pinsir, gorilla
Tyrell Mohr Jr., Goldeen, worm
Clayton Parker, Blastoise, cicada
Elbert Homenick, Starmie, goose
Peggy Kutch, Magmar, bat
Rose Becker, Squirtle, grasshopper
Abraham Emard, Persian, sea lion
Samuel Mitchell, Nidoran, bear
Chase Thompson, Koffing, minnow
Raylene Schowalter, Rhyhorn, wombat
Larry Abshire, Weezing, bee
Lemuel Schuppe, Electrode, hornet
Kallie Witting PhD, Metapod, monkey
Ermelinda Cormier, Farfetch'd, koala
Terence Metz, Gastly, fish
Aron Gorczany V, Charmeleon, bee
Mr. Xiao Metz, Cloyster, walrus
Jewell Kovacek, Doduo, ferret
Sara Gaylord PhD, Charmander, yellowjacket
Erlinda Stehr, Slowbro, jackal
Jerlene Rohan III, Oddish, wombat
Bradford McDermott, Growlithe, hare
Khadijah Erdman IV, Magneton, dinosaur
Angelena Kautzer, Weezing, hyena
Markus Feil, Nidorino, gnu
Ka Shanahan II, Haunter, jackal
Kimberly Koch, Exeggcute, hound
