Dr. Darius Bartoletti, Rapidash, mammoth
Robby Huels III, Magneton, alligator
Karissa Nitzsche MD, Bellsprout, skunk
Birgit Mann, Tauros, frog
Christal Russel, Lickitung, butterfly
Delora Rau, Butterfree, wolf
Josiah Gerhold, Articuno, weasel
Miss Samira Schamberger, Dragonair, water buffalo
Leandro Miller, Graveler, alpaca
Joseph Kunde, Alakazam, lion
Emanuel Keeling Sr., Nidorina, elephant
Dr. Laverna Erdman, Zubat, oyster
Lucio D'Amore, Drowzee, mole
Kari Walter Jr., Vaporeon, trout
Winfred Heaney Jr., Jolteon, kangaroo
Skye Reinger Sr., Jigglypuff, prairie dog
Charlesetta Brekke, Golbat, shark
Mrs. Sheilah Romaguera, Exeggcute, rabbit
Mrs. Kandra Goyette, Gastly, pig
Angelyn Grant, Kabuto, whale
Kerry Kulas, Ponyta, dinosaur
Alan Hammes, Omastar, camel
Columbus Hagenes, Venomoth, muskrat
Lamont Mraz, Persian, koala
Carrie Mueller, Chansey, mosquito
Peter Welch Jr., Sandslash, wombat
Joanne Senger IV, Cubone, trout
Mr. Alton Cassin, Gloom, llama
Otha Brakus, Hitmonlee, grasshopper
Teddy Harvey, Nidorino, bear
Mr. Pierre King, Exeggcute, fish
Fritz Kreiger, Venusaur, rhinoceros
Caroline Zieme, Magneton, gnu
Albert Hahn, Primeape, scorpion
Haydee Hamill II, Charmander, louse
Amos Herman, Horsea, ant
Raymonde Windler, Ninetales, gnat
Mr. Rudolph Bruen, Electabuzz, manatee
Dr. Kennith Lehner, Dodrio, mule
Tierra Blick, Kangaskhan, ape
Alyse Maggio, Kabuto, gnu
Miss Antone Purdy, Weedle, armadillo
Miss Vallie Zboncak, Marowak, ant
Arden Schmitt Sr., Mew, woodchuck
Chad Cruickshank, Raichu, bee
Lionel Brown, Weepinbell, macaw
Dr. Edward Block, Mew, wombat
Felica Daugherty, Haunter, impala
Wade Goodwin I, Kabuto, caribou
Lynna Dare, Jolteon, ape
