Junior Mayer, Porygon, hyena
Carmelo Gulgowski Jr., Raichu, gerbil
Lakisha Brown Jr., Jynx, goat
Caryn Pacocha DVM, Kabutops, chimpanzee
Mohammad Langworth DVM, Rhydon, whale
Justin Mosciski, Dodrio, guinea pig
Beau Christiansen, Blastoise, snake
Williams Heathcote, Poliwhirl, rat
Chris Schultz, Ivysaur, goose
Marlene Ferry, Growlithe, ant
Gavin Christiansen, Ivysaur, hare
Coralee Kub, Beedrill, giraffe
Mr. Santiago Keebler, Slowpoke, moose
Mistie Collins Sr., Gloom, goat
Antony Haley, Exeggutor, duck
Miss Maisha Upton, Vulpix, muskrat
Dr. Yong Haag, Poliwhirl, herring
Yun Durgan III, Porygon, raccoon
Randy Lockman, Arcanine, toad
Ernie Carroll, Butterfree, donkey
Regan Kshlerin I, Sandslash, goat
Shenna Schultz V, Seel, chinchilla
Rupert Hane, Seaking, macaw
Cyril Rolfson, Slowbro, dog
Marlin Schultz, Grimer, cockroach
Tonya McDermott, Dodrio, panda
Jodie Kub, Rhyhorn, rat
Corinne Blick, Vulpix, baboon
Mr. Melina Bode, Omastar, reindeer
Carolin Torp DVM, Dodrio, chinchilla
Marisol Rowe, Nidorino, muskrat
Winford Kris, Nidoqueen, crocodile
Jenifer Harris, Moltres, dinosaur
Bo Carter DVM, Clefable, crocodile
Dr. Emelina Kreiger, Poliwrath, koala
Treena Kiehn, Electabuzz, gerbil
Paul Bode V, Tentacool, fox
Crystal Rolfson, Bellsprout, turtle 
Ms. Leonora Waters, Grimer, hedgehog
Miss Lesley Strosin, Dratini, elk
Sherley Jacobs, Eevee, oyster
Hertha Gleason, Vulpix, cockroach
Sade Sauer, Fearow, prairie dog
Burt White, Aerodactyl, eagle
Oliver Rutherford V, Spearow, elephant
Lauren Sporer MD, Poliwhirl, crow
Rheba Kerluke, Rapidash, cheetah
Karlyn Stracke, Mew, herring
Shawn Littel, Pidgeot, armadillo
Jeffrey Koch, Machoke, wildebeest
