Esteban Satterfield, Porygon, mosquito
Josue Walker, Lickitung, walrus
Amie Dietrich, Abra, locust
Herschel Upton DVM, Pidgeot, fish
Edith Rutherford, Rapidash, mink
Queen Kertzmann, Golbat, koala
Florence Larkin, Cubone, walrus
Norris O'Kon Sr., Electabuzz, ant
Zella Tremblay, Slowbro, mink
Kurt Bailey DVM, Slowbro, tortoise
Avery Barrows, Hypno, wallaby
Raymundo Spinka MD, Dodrio, turtle 
Anglea Rogahn, Ditto, macaw
Meredith Fadel, Pikachu, wolf
Andrew Zieme DVM, Hitmonchan, lizard
Kirk Vandervort, Beedrill, ferret
September Conroy, Kakuna, oyster
Wilfredo Kshlerin, Raticate, raven
Noemi Schamberger, Mew, hare
Israel Mante, Scyther, prairie dog
Maurice Gaylord, Exeggutor, mouse
Kasie Schoen, Horsea, sardine
Reed Koch, Victreebel, worm
Erick Blanda II, Charmander, cat
Dorothy Schmitt DDS, Golduck, goose
Darlene Batz, Meowth, worm
Rene Johns, Rapidash, beetle
Teresia Schimmel, Growlithe, ant
Malissa Breitenberg, Bellsprout, cheetah
Ms. Rozanne Hills, Golduck, bear
Eryn Lehner, Magnemite, mole
Doloris Sporer Sr., Articuno, mink
Herta Bins, Paras, reindeer
Graig Kuhn, Wigglytuff, beaver
Oswaldo Lakin, Drowzee, cricket
Diego Strosin, Gastly, sheep
Mr. Kiley Beer, Kabutops, ape
Rory Turner, Poliwag, monkey
Greta Effertz, Pikachu, swan
Gaston MacGyver, Golbat, ferret
Abraham Cole, Koffing, prairie dog
Guadalupe Kuhlman, Oddish, badger
Ivy Bernier, Porygon, lion
Annamarie Jacobi, Onix, armadillo
Mitchel Goodwin, Porygon, trout
Dr. Alonso Schowalter, Golbat, wallaby
Cheree Boyle, Golem, dinosaur
Berta Herzog I, Poliwag, crocodile
Yong Jacobs, Koffing, donkey
Deneen Schuster, Kangaskhan, minnow
