Miss Grady Hessel, Mr. Mime, duck
Lanell Haley, Haunter, moose
Errol Bechtelar, Raticate, cheetah
Janeth Leffler, Rhydon, mosquito
Mrs. Micah Hane, Snorlax, rabbit
Lasandra Upton, Ninetales, manatee
Miss Odelia Lind, Persian, fox
Clayton Mraz, Spearow, beaver
Valencia Bechtelar, Beedrill, alpaca
Lurline Gutkowski, Sandslash, dolphin
Iraida Herman, Raichu, snake
Blaine Fay, Squirtle, coyote
Jenae Streich PhD, Weepinbell, bat
Seth Emmerich, Sandslash, yak
Jimmie Luettgen, Arcanine, grasshopper
Donald Fritsch, Scyther, lizard
Dr. Jasper Kuhn, Dratini, manatee
Lonny Hettinger, Rhyhorn, macaw
Rich Kling, Alakazam, worm
Miss Andrea Christiansen, Sandshrew, wombat
Carline Prosacco, Venonat, dog
Boris Cronin, Onix, porpoise
Carli Spinka, Growlithe, gerbil
Miss Georgeanna Hermann, Nidoran, weasel
Thanh Kuhlman, Tauros, platypus
Stefan Lemke DDS, Metapod, sheep
Kala Frami, Fearow, seal
Jalisa Feest PhD, Primeape, pig
Miss Alayna Berge, Gastly, ant
Raymond Batz, Zubat, bat
Fred Lueilwitz, Rhyhorn, herring
Dylan Lemke, Magmar, armadillo
Mr. Lekisha Sporer, Magneton, coyote
Antwan Mann, Dragonair, coyote
Eldora Mante, Paras, hedgehog
Lilla Stokes V, Persian, louse
Raymond Crona, Machoke, gorilla
Ian Russel, Mew, jackal
Fritz Lind, Goldeen, snake
Mr. Kathern Jast, Onix, turtle 
Long Nitzsche, Geodude, salmon
Burl Nitzsche, Zubat, snail
Serita Leannon, Clefairy, ox
Loreen Cole, Golem, cricket
Sharlene Heidenreich, Victreebel, gnu
Verline Yundt, Parasect, termite
Miss Renata Feeney, Graveler, sardine
Mr. Dwight Fisher, Dugtrio, ox
Mel Cremin, Poliwhirl, pug
Mr. Enrique Kerluke, Omastar, wombat
