Latia Reinger, Dratini, louse
Johnsie Sipes DDS, Dodrio, butterfly
Venita Ondricka, Butterfree, fox
Leland Rodriguez, Dugtrio, cheetah
Timothy Glover, Kadabra, goldfish
Ricky Quitzon, Zapdos, rat
Sung D'Amore DDS, Dodrio, cicada
Boris Larson, Lapras, hyena
Dr. Ayanna Pacocha, Nidoking, chinchilla
Tyree Walter, Weepinbell, chimpanzee
Mrs. Ginny Boehm, Poliwag, crab
Rosario Hoeger, Kabuto, spider
George Haley, Jolteon, trout
Miyoko Stracke, Golduck, tiger
Wilbert Green, Electabuzz, tiger
Jefferson McGlynn, Pinsir, frog
Grant Kassulke, Charmander, armadillo
Norbert Hermiston DVM, Graveler, gnu
Jackie Hessel, Abra, goat
Rona Sipes, Victreebel, ape
Nena Barrows, Vaporeon, badger
Gussie Weimann, Vulpix, worm
Miss Jewell Kuhlman, Gengar, crocodile
Young Herman, Pikachu, gnu
Ms. Christia Hammes, Jigglypuff, elephant
Sherill Kohler, Ditto, squirrel
Doug Stiedemann, Chansey, rhinoceros
Brian Rice V, Dragonite, sardine
Marquerite Hettinger, Rapidash, baboon
Silvana Farrell, Weezing, mallard
Deshawn Douglas, Golem, platypus
Ka Hettinger, Poliwag, porpoise
Mickie Schultz, Tentacruel, tortoise
Santo Cronin, Rapidash, camel
Ms. Lorette Watsica, Venonat, camel
Clara Bergnaum, Ponyta, duck
Ms. Maye Walker, Exeggcute, mink
Alexia Jerde, Nidoqueen, termite
Elisha Kulas, Horsea, beetle
Shiloh Weimann, Kangaskhan, minnow
Mira Gleichner, Goldeen, sheep
Daisey Feest, Magneton, goldfish
Ozzie Dickinson, Staryu, panda
Elden Will, Parasect, woodchuck
Dallas Kuvalis IV, Arbok, swan
Fidel Cassin, Lickitung, alpaca
Queen Collier, Nidoran, impala
Mr. Tyree Altenwerth, Dragonair, rhinoceros
Alan Torp, Machoke, elk
Jacquelin Hudson, Seadra, turtle 
