Babara Streich, Nidorino, buffalo
Angelic Kihn, Beedrill, eagle
Irving Jacobs, Dragonair, shark
Lannie Champlin, Tauros, sheep
Sebastian Feil, Paras, antelope
Robyn Kirlin, Starmie, sardine
Shannon Harvey DDS, Growlithe, moose
Mr. Lakesha Hintz, Spearow, termite
Haywood Jerde, Staryu, serval
Archie Kuhlman, Ivysaur, caribou
Del Lakin, Doduo, goldfish
Heike Gorczany, Tentacool, elephant
Ollie Rath, Krabby, dog
Young Wehner IV, Magmar, bear
Mrs. Maynard Douglas, Caterpie, ox
Jenell Weimann, Poliwrath, dog
Margaret Goyette PhD, Haunter, badger
Jennine Purdy DVM, Charizard, duck
Lyle Cassin, Jigglypuff, mallard
Boris Rutherford, Mankey, cattle
Rory Denesik, Zubat, sheep
Ardis Lindgren III, Venomoth, platypus
Zoila Hane III, Aerodactyl, sardine
Mrs. Thomas Halvorson, Machamp, buffalo
Jerry Conroy, Weedle, cicada
Lane Herzog MD, Farfetch'd, squirrel
Marni Pfeffer, Seaking, hippopotamus
Long Kling, Jigglypuff, louse
Dr. Marcel Heidenreich, Ekans, rat
Candance Green, Blastoise, monkey
Douglass Gaylord, Wigglytuff, fly
Amanda Pouros, Fearow, squirrel
Keenan Schneider, Koffing, yak
Stanley Thiel, Seaking, kangaroo
Charity Ritchie, Diglett, cod
Vivian Walker, Grimer, worm
Julieann Farrell I, Ivysaur, hare
Felton Balistreri, Squirtle, beetle
Terri Goodwin, Kadabra, termite
Meri Schiller, Exeggcute, jackal
Erin Roob PhD, Golbat, donkey
Kit Morar, Magnemite, wallaby
Dr. Donetta Medhurst, Raticate, jellyfish
Teddy Kohler, Eevee, chimpanzee
Kristy Collins Jr., Hypno, snail
Jarod Langosh DDS, Jolteon, walrus
Gino Wisozk, Mankey, seal
Edmundo Funk, Venomoth, swan
Miss Linda Beatty, Ekans, snail
Roy Nicolas, Machoke, wombat
