Miss Fleta Kihn, Vileplume, squirrel
Bruno Williamson, Omanyte, pig
Jacklyn Miller, Pikachu, seal
Miss Kandra Monahan, Magmar, bee
Gale Boyer, Exeggutor, walrus
Marceline Abshire, Slowpoke, horse
Elina Morar, Weedle, swan
Tu Cole, Clefairy, coyote
Mr. Ismael Tromp, Pikachu, chinchilla
Jeffrey Torphy, Lickitung, snake
Oralee Bayer, Golem, fly
Carlos Fisher, Venusaur, goose
Holli Boyer, Nidoking, porcupine
Miss Preston Stracke, Sandslash, fish
Bernardo Jaskolski, Magneton, chimpanzee
Rudolf Heathcote, Rapidash, salmon
Milford Gottlieb, Ditto, caribou
Aida Bradtke, Golbat, louse
Adrianne Larson V, Exeggutor, snake
Chase Walker, Aerodactyl, skunk
Ms. Margarito Tromp, Eevee, squirrel
Renea Abernathy, Chansey, guinea pig
Nicolas Tromp Sr., Tangela, water buffalo
Mrs. Wilhemina Gusikowski, Lapras, cat
Tinisha Rogahn Sr., Magmar, eel
Janeen Kris, Nidoking, porcupine
Marquita Bailey, Golbat, minnow
Lindsey Hyatt, Poliwrath, sardine
Rochel Greenfelder, Vileplume, porpoise
Daryl Stiedemann, Electrode, turtle 
Verdie Carter II, Koffing, giraffe
Cedric Ruecker Jr., Rhyhorn, cat
Mattie Ziemann, Mr. Mime, fox
Shon Morissette, Horsea, turtle 
Clayton Hamill, Chansey, cricket
Gale Gusikowski, Hitmonchan, armadillo
Ms. Jonell Mosciski, Persian, cod
Adolfo Rohan MD, Dewgong, hare
Viviana Gleichner, Onix, armadillo
Hobert Effertz, Omastar, spider
Dr. Abel Balistreri, Kakuna, armadillo
Rudolph Yundt, Venonat, rabbit
Nguyet Pfannerstill, Arbok, cat
Mrs. Neva Powlowski, Kingler, crow
Chloe Cassin, Tentacool, alpaca
Chantelle Casper, Spearow, leopard
Anibal Gutkowski Sr., Rhydon, beaver
Stephan Tromp, Grimer, raven
Dr. Felton Morissette, Porygon, porpoise
Izetta Hauck, Jigglypuff, gnat
