Von Goyette, Doduo, panda
Concha Kreiger I, Magneton, woodchuck
Debbra Anderson, Seel, butterfly
Kyoko Blick Jr., Bellsprout, dog
Odis Hartmann, Porygon, shark
Ona Rath, Growlithe, swan
Miss Alan Mosciski, Diglett, platypus
Manual Kohler, Rattata, seal
Sarita Kovacek, Machamp, llama
Graham Shields, Kakuna, horse
Evan Casper, Charizard, locust
Lesli Konopelski, Gastly, rat
Miss Macie Gibson, Aerodactyl, wombat
Ezequiel Ledner, Moltres, donkey
Rhiannon Hamill, Snorlax, koala
Tony Klocko Sr., Jolteon, minnow
Tyler Senger, Omanyte, platypus
Tawanda Feil, Jigglypuff, scorpion
Glenn Hilpert, Gengar, goldfish
Cinderella Jones DVM, Dragonair, bat
Youlanda Gleason II, Sandshrew, whale
Katrice Osinski, Shellder, cockroach
Katherina Nikolaus, Arbok, tortoise
Jenna Strosin, Wigglytuff, butterfly
Dr. Shanae Medhurst, Pidgeotto, gerbil
Ms. Lani Cole, Exeggutor, locust
Dahlia Hintz DVM, Charmander, monkey
Judith McClure, Goldeen, oyster
Neal Will, Scyther, monkey
Camilla Conroy Sr., Charmander, whale
Fredda Hirthe, Venomoth, mammoth
Jodie Ward, Cubone, squirrel
Mr. Van Purdy, Weepinbell, mouse
Bennie Mertz IV, Grimer, wombat
Woodrow Kshlerin, Pikachu, tiger
Hyun Reichert, Exeggcute, chimpanzee
Miss Qiana Jerde, Golbat, salmon
Colin Ryan, Magneton, hare
Tashina Bruen, Snorlax, walrus
Henrietta Schamberger Jr., Moltres, prairie dog
Randi McClure, Fearow, horse
Kurt Wehner, Abra, cod
Tomasa Harris, Butterfree, sea lion
Margo Rau, Sandslash, sheep
Ms. Shaun Schimmel, Gastly, hippopotamus
Sonny Welch, Blastoise, wolf
Jacqueline Schmidt DDS, Slowpoke, dog
Karyl Stroman, Pikachu, hedgehog
Stewart Gottlieb, Pidgeot, pig
Normand Denesik, Moltres, crocodile
