Damien Little, Gastly, cockroach
Seth Bergnaum II, Omanyte, hornet
Hollis Hoppe, Alakazam, serval
Franklyn Runolfsdottir, Clefable, jellyfish
Stanton Lesch, Pidgeot, wombat
Ms. Jarod Lubowitz, Hypno, whale
Erin Zemlak, Alakazam, clam
Lynn Raynor, Omanyte, crow
Darell Moore, Tentacruel, fox
Tyron Schuppe DDS, Kabuto, ferret
Ms. Gerald Osinski, Zapdos, reindeer
Rolande Trantow, Machoke, goose
Amanda Bayer, Gengar, otter
Lesha Gutmann MD, Arcanine, beaver
Miss Chas Kuvalis, Seel, dinosaur
Margareta Shields, Mr. Mime, donkey
Ms. Andera Gulgowski, Wartortle, water buffalo
Dione Crona, Charmeleon, beetle
Araceli Kerluke, Pidgey, zebra
Concepcion Schmeler, Ekans, cod
Adan Harris, Gastly, platypus
Logan Labadie, Jynx, beetle
Numbers Hodkiewicz DDS, Wartortle, buffalo
Stephan Lang, Gloom, wombat
Carmelia Jones, Caterpie, coyote
Lorean Kuhlman, Dewgong, termite
Coleman Olson, Koffing, horse
Dominick Reilly Jr., Gastly, deer
Rodrick Harber, Mewtwo, rhinoceros
Sherlyn White, Pidgeot, scorpion
Claud Maggio, Squirtle, sheep
Tinisha Greenholt, Venonat, wallaby
Raphael Hudson, Charizard, dinosaur
Douglass Daugherty PhD, Krabby, prairie dog
Marco Collier, Growlithe, snail
Nathalie Upton, Koffing, mosquito
Reiko Gleichner, Goldeen, spider
Clinton Dooley, Kabutops, cockroach
Chanda Reilly, Kingler, goat
Jules Marquardt III, Bellsprout, sardine
Shayne Littel, Ditto, frog
Deshawn Prohaska, Moltres, clam
Beau Stamm, Primeape, goose
Clelia Hane, Staryu, hippopotamus
Sachiko Paucek, Blastoise, lion
Edgardo Maggio, Ponyta, manatee
Earlene Tillman II, Starmie, skunk
Ezra Ziemann PhD, Tangela, fly
Tad Gerlach, Venomoth, eagle
Mr. Christen Bayer, Nidoqueen, mammoth
