Carolyne Feest, Kabuto, platypus
Mariel Wiegand, Blastoise, dolphin
Sage Morissette, Rapidash, armadillo
Kai Haley, Goldeen, raven
Dr. Tova Wiza, Vaporeon, beetle
Jc Hamill, Rhyhorn, frog
Ursula Luettgen, Hypno, sea lion
Rusty Lubowitz, Pidgeotto, chinchilla
Lisandra Bayer, Kingler, guinea pig
Teodoro Bartell, Arcanine, antelope
Wiley Cormier, Pinsir, ferret
Dixie Towne, Marowak, mammoth
Bradly Hansen, Koffing, walrus
Alejandro Stehr, Goldeen, salmon
Mr. Valentine West, Goldeen, serval
Katharyn McLaughlin, Koffing, sardine
Marco Funk, Clefairy, ape
Ronda Wiegand, Venusaur, tiger
Eli Hills, Machoke, weasel
Grant Harris, Paras, wildebeest
Tobias Prosacco PhD, Golbat, skunk
Sima Jacobs, Jolteon, tortoise
Adrianna Schulist, Zapdos, butterfly
Russel Predovic, Wartortle, hippopotamus
Donnie Hyatt DDS, Kangaskhan, woodchuck
Ossie Watsica, Marowak, oyster
Narcisa Jaskolski, Parasect, ape
Edmond Langosh, Jynx, wallaby
Katharyn Connelly, Voltorb, jellyfish
Mr. Jen Stehr, Kangaskhan, minnow
June Kertzmann, Kingler, porpoise
Rosalina Gleason, Weepinbell, gerbil
Pamila Spencer, Arbok, antelope
Eldridge Kunze, Scyther, muskrat
Luciana Rath, Zubat, rabbit
Rosena Casper Sr., Pikachu, baboon
Josh Collins Jr., Primeape, swan
Miss Lashunda Ernser, Porygon, gnat
Melany Waelchi, Mew, lizard
Dean Zemlak Sr., Zubat, llama
Lamar Kunde, Poliwag, duck
Johnnie Kuphal, Kakuna, rhinoceros
Annetta Deckow, Haunter, mole
Mrs. Jetta Parker, Tentacruel, moose
Stephane Hessel, Hitmonchan, koala
Alisa Konopelski, Seel, cheetah
Dr. Reiko Legros, Omanyte, monkey
Jeremy Pfeffer, Gastly, duck
Rich Ryan, Spearow, bee
Tad Shields DVM, Gloom, reindeer
