Dr. Genaro Kreiger, Snorlax, lion
Margorie Frami, Dewgong, cicada
Georgetta Lang, Eevee, crocodile
Miss Gerardo Heller, Magikarp, mosquito
Sunshine Abshire, Dodrio, alpaca
Phung Medhurst, Horsea, ant
Miss Myong Collier, Exeggcute, manatee
Dr. Towanda Farrell, Chansey, butterfly
Mr. Giovanni Terry, Chansey, pug
Ashli Raynor, Exeggutor, raven
Javier Orn, Cubone, hamster
Dr. Wiley Pfeffer, Hitmonlee, rat
Beckie Heaney, Kadabra, crow
Darin Murphy, Muk, dolphin
Otha Zieme, Pikachu, chimpanzee
Lyle Schroeder, Ditto, crow
Mrs. Reginald Barrows, Seel, giraffe
Rodrigo Johns, Exeggcute, koala
Isabel Reinger PhD, Ditto, jackal
Wilson Farrell, Jolteon, moose
Nella Hammes, Charmeleon, wasp
Kirby Schamberger, Gengar, hyena
Rhiannon Schoen, Clefairy, swan
Doris Cormier, Eevee, goldfish
Dave Prosacco, Nidoran, serval
Dr. Kimi Hintz, Hitmonchan, porcupine
Freddy Bergnaum III, Koffing, eagle
Kent Spinka V, Nidorino, marten
Michael Schinner III, Growlithe, cicada
Tyler Farrell, Ditto, swan
Irvin Grant, Tauros, ox
Otis Sipes, Graveler, cricket
Jimmie Schaden, Kabutops, platypus
Candy Dicki, Vaporeon, woodchuck
Hugo Schmeler, Beedrill, raven
Garrett Hills, Muk, cattle
Marilou Huels, Flareon, cat
Margurite Feil, Slowpoke, crab
Ms. Jesse Feest, Golduck, jackal
Mrs. Amberly Pacocha, Poliwhirl, marten
Phylis Stehr, Hitmonlee, trout
Katelynn Padberg, Weezing, gerbil
Nadene Gislason, Geodude, oyster
Niesha Hand, Geodude, ape
Ms. Faith McGlynn, Kakuna, bat
Epifania Smitham V, Abra, ape
Louie Ratke II, Porygon, shark
Myles Ward Jr., Poliwag, walrus
Angel Stanton, Eevee, cricket
Billye Harris, Exeggcute, toad
