Yen Hickle, Mankey, frog
Brooke Metz, Gastly, chimpanzee
Charlie Hartmann, Rapidash, hare
Shemeka McCullough, Krabby, spider
Alan Cronin DDS, Horsea, impala
Preston Gleichner, Mr. Mime, ferret
Ali Kozey DDS, Omanyte, duck
Nisha Swift, Flareon, squirrel
Hershel Stoltenberg, Ninetales, mink
Miss Tenesha Maggio, Tauros, dinosaur
Ileana Padberg, Aerodactyl, salmon
Mr. Shaunda Schulist, Pinsir, turtle 
Trent Borer, Golbat, mammoth
Zane Beatty, Nidoran, squirrel
Serena Auer, Goldeen, buffalo
Mr. Rogelio Johnson, Nidoking, hyena
Jerilyn Gutkowski I, Nidoran, crocodile
Jenni Kulas, Cloyster, pig
Gordon Koch DDS, Butterfree, elk
Charlotte Larson DDS, Magmar, bee
Mr. Ferdinand Flatley, Ekans, cattle
Tarsha Schumm, Golbat, clam
Dr. Dennis Pouros, Porygon, trout
Riley Roberts III, Magnemite, mink
Sherise Bosco, Lapras, fly
Jeanene Lind, Ninetales, mosquito
Lacie Nolan, Bellsprout, squirrel
Ms. Madaline Bergstrom, Rapidash, buffalo
Phylis Hills, Jigglypuff, pug
Doyle Conn Sr., Marowak, cricket
Harley Bogan, Psyduck, cat
Mr. Maxwell Hoppe, Flareon, louse
Miss Wesley Gerlach, Kakuna, alpaca
Isaias Dicki, Pidgeotto, seal
Alexandra Bode, Blastoise, impala
Kasey Olson II, Zapdos, locust
Mrs. Eulah Sawayn, Venonat, ferret
Isreal Larson, Raichu, alligator
Mrs. Williams Witting, Electrode, hound
Artie Schmidt, Primeape, dolphin
Aleshia Cremin, Rapidash, ant
Svetlana Boyle, Mewtwo, goldfish
Bonita Macejkovic, Charmander, kangaroo
Collene Swaniawski, Parasect, shark
Devin Turner, Paras, elk
Rudy Nitzsche, Shellder, moose
Shad Sawayn, Vileplume, raven
Jerrold Bins DDS, Persian, hound
Miss Elli Gleichner, Hitmonchan, hamster
Jae Sipes, Doduo, bee
