Willian Littel, Rhyhorn, dolphin
Ms. Levi Jenkins, Exeggcute, gnat
Shirlee Padberg, Charmeleon, alligator
Gala Maggio, Drowzee, snail
Roselee Littel, Raticate, moose
Cory King, Gengar, crocodile
Anamaria Berge, Growlithe, bee
Miss Samuel Quitzon, Charmander, yellowjacket
Shawanna Paucek, Rhydon, squirrel
Olive Ratke, Chansey, lion
Alison Wunsch, Tentacool, rat
Charlena Hahn, Oddish, bee
Miss Horacio Goodwin, Aerodactyl, squirrel
Chery Cole, Nidorino, weasel
Eva Fritsch III, Hypno, shark
Rodrick Reichert, Exeggutor, otter
Rodger Rowe, Porygon, porpoise
Stanford Murazik Jr., Seaking, wasp
Randall Bernhard, Arbok, porpoise
Merle Renner, Butterfree, seal
Mack Crist, Omastar, wasp
Pasquale Sipes Jr., Tangela, horse
Robbie Huels, Krabby, porpoise
Colette Dibbert, Cubone, weasel
Dr. Young Nader, Tentacruel, llama
Ms. Hoa Mohr, Scyther, raccoon
Geri Smith MD, Cubone, guinea pig
Marline Schowalter, Jynx, eagle
Jerrod Walsh, Charmander, cattle
Kendall Hegmann, Nidoqueen, frog
Merrie Quitzon, Kakuna, turtle 
Dr. Carter Kemmer, Bellsprout, locust
Mr. Marg Beer, Drowzee, worm
Han Dibbert, Kingler, fly
Tonya Spencer, Gastly, gnu
August Lueilwitz, Staryu, beetle
Louise Bailey Sr., Pikachu, mink
Gaylene Brown, Vulpix, goldfish
Maurice Pfannerstill, Slowpoke, panda
Miss Daniela Mayer, Magmar, dog
Jacquline Hermiston, Dugtrio, grasshopper
Toshia Kerluke, Ninetales, grasshopper
Kathlyn Ruecker, Pidgey, macaw
Jorge Wintheiser, Drowzee, muskrat
Rudy Block, Mankey, whale
See Heathcote, Cubone, eagle
Octavio Cassin, Nidorina, mule
Geoffrey MacGyver, Gloom, ferret
Lakendra Brakus DVM, Rapidash, wallaby
Ellie Thompson, Metapod, jackal
