Geraldine Heathcote, Kakuna, alligator
Adrien Jaskolski, Doduo, dog
Darron Zboncak, Horsea, manatee
Nia Schamberger, Slowpoke, coyote
Faustina Russel, Vileplume, scorpion
Tommy Skiles, Parasect, alpaca
Foster Yost, Tentacruel, elk
Rivka Shanahan, Ditto, bat
Anamaria Kutch Sr., Moltres, beetle
Lucie McDermott, Weezing, ape
Joe Leuschke Jr., Lickitung, muskrat
Eleonor Torphy, Charmeleon, moose
Charlott Keeling, Persian, cicada
Mauricio Feeney, Pidgey, buffalo
Miss Damon Schmidt, Poliwag, reindeer
Morris Kilback, Machamp, shark
Ms. Tyrone Goyette, Mr. Mime, gorilla
Andre Carroll DVM, Persian, cheetah
Andera Larkin, Gastly, caribou
Cleo Leannon, Venonat, antelope
Lloyd Bauch, Beedrill, clam
Anton Kozey MD, Pikachu, goat
Barbra Weissnat, Seel, raccoon
Keeley Schulist, Butterfree, turtle 
Domingo Franecki, Weedle, giraffe
Blake Hamill DVM, Golduck, kangaroo
Maryln Marquardt, Drowzee, salmon
Giovanni Goyette IV, Psyduck, lion
Joanie Morar, Slowbro, sardine
Hans Kohler, Snorlax, crocodile
Charlesetta Nader, Porygon, lizard
Magda Schuster, Tentacool, crab
Lucas O'Connell V, Electrode, jellyfish
Mrs. Buster Pouros, Tentacruel, baboon
Tomiko Collins, Venonat, shark
Albina Deckow, Mew, yellowjacket
Bonita Skiles Jr., Ponyta, rhinoceros
Toby Torp II, Scyther, shark
Solomon Wunsch, Moltres, koala
Nathaniel Ankunding Jr., Sandshrew, crab
Miss Loria Littel, Articuno, donkey
Yelena Kshlerin, Rhydon, wallaby
Fredrick Rogahn, Exeggcute, hornet
Alethia Koss, Poliwrath, jackal
Keitha Fadel, Magnemite, koala
Marianne Dibbert PhD, Victreebel, herring
Tabetha Wolf, Ninetales, gorilla
Akilah Swift, Weezing, bee
Mr. Jackie Morissette, Bulbasaur, dolphin
Joshua McClure, Kadabra, skunk
