Laverne Swaniawski, Meowth, monkey
Candi MacGyver, Pidgey, jackal
Dr. Demarcus Hickle, Eevee, ferret
Robbie Thiel, Ponyta, armadillo
Sherman Lehner, Wigglytuff, platypus
Carola Armstrong, Lapras, manatee
Ami Weimann, Tauros, guinea pig
Dr. Lanie Tremblay, Vaporeon, porpoise
Roscoe Ziemann, Cubone, porpoise
Mr. Darlene Terry, Diglett, caribou
Marcelle Rohan IV, Cubone, macaw
Mrs. Luis Hickle, Kadabra, hyena
Mrs. Scot Rath, Dratini, antelope
Elmo Hermann, Seel, trout
Miss Alexia Hahn, Butterfree, lion
Merle Ortiz, Geodude, hornet
Adrian Bauch, Seel, goat
Lou Hirthe, Sandshrew, salmon
Larita Fahey, Hypno, wasp
Irving Morissette, Lickitung, donkey
Todd Armstrong, Vulpix, fish
Damien Lang II, Sandslash, toad
Dr. Donetta Murray, Farfetch'd, badger
Anastasia Schaefer, Magmar, hamster
Lea Boehm, Grimer, moose
Jan Nitzsche, Weezing, cicada
Kasey Marquardt, Cloyster, spider
Sheldon Heaney, Koffing, jellyfish
Olin Smith, Venomoth, shark
Arlie Legros DVM, Tentacool, badger
Gilberto Orn Jr., Caterpie, sardine
Logan Davis, Nidoran, pig
Frank Stanton, Sandshrew, rat
Ms. Lavinia Gerhold, Snorlax, ox
Arnita Conn PhD, Gastly, deer
Mrs. Aleen Stracke, Magikarp, wolf
Basil Farrell, Pidgeot, snail
Mr. Tanesha Stoltenberg, Gyarados, mole
Kristofer Kulas DVM, Poliwhirl, worm
Leroy Cremin, Hitmonlee, buffalo
Neil Dibbert III, Kadabra, donkey
Tawanda Mante, Gastly, elk
Vita Greenfelder I, Dodrio, deer
Justin Wintheiser Jr., Caterpie, coyote
Librada Rolfson III, Shellder, gorilla
Ms. Mario Paucek, Venonat, elephant
Deshawn Schamberger MD, Butterfree, jellyfish
Vito Kozey III, Hypno, squirrel
Jamey Stoltenberg, Lapras, elephant
Liz Howell, Mewtwo, porpoise
