Nicki Rosenbaum, Seaking, bee
Eldon Lang Jr., Gengar, wasp
Sirena Predovic I, Cloyster, cod
Miss Bennett Spinka, Dragonair, otter
Miss Kendal Hettinger, Gastly, coyote
Mr. Warren Mitchell, Porygon, raven
Ms. Angelique Rogahn, Ditto, weasel
Max West, Shellder, gnat
Stuart Abernathy Sr., Flareon, fly
Deneen Turcotte, Weepinbell, shark
Miss Gerri Schultz, Staryu, camel
Dr. Cathern Mante, Ekans, cricket
Miss Sung Leffler, Seadra, goldfish
Mr. Delora Casper, Nidoking, chimpanzee
Ethel Mitchell, Growlithe, fly
Williams Cartwright, Tentacruel, giraffe
Margarito Zemlak, Staryu, dog
Maximo Jast, Kabuto, hippopotamus
Indira Stehr, Ponyta, rhinoceros
Dr. Darline Wisoky, Raichu, hornet
Murray Gibson, Sandslash, woodchuck
Dr. Ethan Boehm, Caterpie, turtle 
Jame Keebler, Cloyster, porpoise
Carrol Streich, Drowzee, oyster
Ms. Terina Sporer, Shellder, giraffe
Desmond West, Pikachu, eagle
Elenora Cormier, Oddish, rat
Stephani Deckow DVM, Nidoking, cod
Trinidad Cummings DDS, Charmeleon, termite
Salley Herzog, Nidoking, hound
Beula Will, Tentacruel, prairie dog
Ms. Chi Herman, Jolteon, swan
Jaime Dach IV, Horsea, sardine
Geraldo Cartwright, Butterfree, reindeer
Rod Haag, Gloom, louse
Camellia Okuneva, Nidoran, pig
Emanuel Champlin, Pinsir, squirrel
Clement Klocko, Onix, frog
Amee Kling, Persian, goat
Miss Jacki Murazik, Golem, leopard
Casey Koch, Drowzee, alpaca
Parthenia Douglas II, Machop, marten
Abram Kassulke, Alakazam, badger
Zaida Kuhic DDS, Voltorb, beetle
Kelli Kessler, Marowak, snake
Roxane Stehr, Nidoran, grasshopper
Prince Gleichner DVM, Rattata, horse
Loyd McClure, Flareon, rat
Calvin Macejkovic, Kingler, jackal
Nelida Schimmel, Metapod, sea lion
