Eugenio Gorczany, Marowak, alligator
Wilfredo Lind, Mewtwo, fly
Mr. Janee Lubowitz, Hitmonchan, cicada
Jeannetta Greenholt, Seaking, elephant
Derek Pfeffer, Dodrio, lion
Kimi Pouros, Zapdos, turtle 
Ms. Vincenzo Bednar, Seadra, jellyfish
Shizuko Altenwerth, Mewtwo, toad
Russ Hegmann IV, Nidoran, mole
Miss Keith Schoen, Aerodactyl, wombat
Keshia Will, Spearow, hound
Hien Ebert, Weedle, hippopotamus
Tracy Thiel, Machoke, rhinoceros
Chanell Veum, Tentacruel, snake
Royal Marks, Nidorina, water buffalo
Billy Wolf, Ditto, ant
Gail Streich, Machamp, sardine
Lovella Hackett II, Nidorino, alpaca
Mr. Garth Herman, Charmander, reindeer
Jake Wuckert, Geodude, lion
Blair McGlynn, Cubone, rat
Charissa Heller, Seaking, crab
Laverne Toy, Slowpoke, herring
Miss Woodrow Rempel, Gloom, jellyfish
Ms. Harley Gutmann, Dragonair, oyster
Tanner Swift, Pidgeot, cattle
Don Becker, Cloyster, rabbit
Dr. Chloe Cummings, Dewgong, bat
Charlette Haag, Goldeen, reindeer
Marlon Zulauf, Mankey, sea lion
Miss Angelita Jakubowski, Clefairy, manatee
Shena Tillman, Fearow, locust
Carisa Lindgren, Tentacool, hound
Lorina Cormier, Mew, shark
Reed Senger Sr., Mr. Mime, kangaroo
Fumiko D'Amore, Goldeen, snake
Hyman Hansen, Staryu, cicada
Keith Macejkovic, Seadra, jellyfish
Soila Harber DVM, Alakazam, yellowjacket
Darryl Gutkowski, Venomoth, goose
Clotilde White, Parasect, clam
Denisha Abbott, Golbat, squirrel
Bertram Streich IV, Gastly, crow
Lindsay Roob, Paras, trout
Diedra Waters, Ditto, koala
Alejandra Hyatt, Kabuto, hare
Jovan Feeney, Ditto, badger
Kathline Beer, Rattata, cricket
Brittani Jacobson, Drowzee, panda
Miss Reggie Brakus, Dewgong, ferret
