Luis Murray, Pidgeotto, duck
Forrest Towne, Vileplume, sardine
Rob Ortiz PhD, Wigglytuff, elk
Davis Kessler DDS, Vulpix, raccoon
Miss Jeff Medhurst, Weepinbell, baboon
Nicolasa Lubowitz, Machoke, hare
Eugenio Olson, Gyarados, yellowjacket
Bart Barrows, Machamp, baboon
Ty Sporer, Dratini, impala
Miss Hayden Morissette, Eevee, weasel
Milly Hintz, Meowth, dog
Stacey Davis, Onix, mule
Ms. Hettie Lesch, Arcanine, moose
Marco Wunsch, Nidorina, bear
Gerald Emmerich, Ponyta, termite
Violeta Murazik I, Voltorb, jellyfish
Raymond Christiansen, Machop, gerbil
Randy Franecki, Pidgeot, mosquito
Fe D'Amore, Butterfree, turtle 
Santa Jenkins, Mewtwo, zebra
Mayme Yost, Psyduck, water buffalo
Daniel Weber, Magmar, otter
Renay Bernhard, Hypno, whale
Carline Emard, Bulbasaur, seal
Levi Ortiz, Shellder, rabbit
Miss Stephen Johnston, Dugtrio, serval
Mckinley O'Kon V, Goldeen, ape
Celine Runte, Fearow, ferret
Adelle Watsica, Spearow, snail
Dr. Jess Wolf, Cubone, moose
Dann Reichel, Dewgong, beaver
Mr. Georgine Dickinson, Rattata, oyster
Len Greenfelder, Nidoran, toad
Barabara Pfeffer, Pidgeotto, reindeer
Rachell Dietrich IV, Tentacruel, wasp
George Auer, Seaking, cod
Thi Boyer Jr., Spearow, ant
Yuri Lubowitz DDS, Zubat, grasshopper
Dominic Cremin, Horsea, squirrel
Derick Parker, Kadabra, wallaby
Danita Boyle, Wigglytuff, crow
Elias Pollich Sr., Kadabra, caribou
Miss Pete Jenkins, Ekans, gnat
Juliette Spencer, Geodude, sardine
Felisha Franecki, Articuno, ape
Chris Schulist V, Wigglytuff, zebra
Roxanne O'Reilly, Arbok, oyster
Ervin Macejkovic, Diglett, hyena
Ms. Dean Feil, Zapdos, shark
Jacques Batz I, Horsea, locust
