Cletus Schowalter V, Seel, turtle 
Delora Purdy, Pidgey, dog
Dwayne Feil, Flareon, sea lion
Kalyn Langworth, Doduo, pig
Sharika Runolfsson, Persian, porpoise
Bryan Denesik, Hypno, prairie dog
Mohammed Johnson, Vileplume, raccoon
Annamarie Keeling DDS, Charmander, bee
Laraine Bahringer, Growlithe, lion
Angelika Fay, Zubat, herring
Randell Macejkovic, Goldeen, otter
Warner Johnston, Ditto, dog
Shannan Green, Cloyster, yellowjacket
Lilliam Trantow, Diglett, elk
Dr. Erin Jast, Eevee, raven
Ayako Schumm, Jigglypuff, cheetah
Missy Jerde, Snorlax, cod
Novella Spinka, Clefable, caribou
Roselee Bahringer, Psyduck, sea lion
Brian Stokes, Zubat, squirrel
Leonard Strosin, Ekans, minnow
Nettie Wuckert, Graveler, locust
Frederick Nienow, Machamp, beetle
Katharyn White, Sandshrew, skunk
Lewis O'Hara, Kangaskhan, scorpion
Taylor Kessler, Oddish, tortoise
Samuel Borer, Tentacruel, jackal
Dr. Maryanna Kuhn, Parasect, bear
Tristan Rosenbaum DVM, Venusaur, oyster
Anastacia Lebsack, Ivysaur, jackal
Dorthea Dare, Lickitung, termite
Reggie Huel, Aerodactyl, armadillo
Manual Wiza, Gengar, horse
Lovetta Ritchie, Wigglytuff, swan
Duane Steuber, Growlithe, louse
Bryce Hartmann, Arcanine, donkey
Stefani Macejkovic, Lapras, hippopotamus
Lin Bahringer, Diglett, alpaca
Cleo Dibbert, Alakazam, salmon
Forrest Ledner, Pidgeotto, ox
Cameron Kling, Gloom, guinea pig
Ralph Hodkiewicz III, Kangaskhan, bat
Lazaro Rowe, Tauros, raccoon
Moses Wiza, Weedle, wallaby
Reuben Koepp, Beedrill, yellowjacket
Rachal Kozey, Mewtwo, moose
Ira Gutkowski, Mr. Mime, badger
Dr. Russel Rohan, Squirtle, hamster
Beulah Deckow, Seaking, mule
Wiley Considine I, Haunter, crow
