Florance Howe V, Gengar, moose
Temple Mills, Vileplume, monkey
Ms. Theodore Dickinson, Krabby, locust
Gavin Hahn, Butterfree, rabbit
Mr. Sol Waters, Tentacool, crab
Donte Balistreri, Machamp, jellyfish
Letisha Collins, Lickitung, goose
Homer Block, Nidoking, camel
Chris Leannon, Psyduck, caribou
Ms. Ivory Stark, Beedrill, louse
Melodie McClure I, Caterpie, mosquito
Dr. Juliane Konopelski, Clefairy, marten
Brett Sporer I, Victreebel, oyster
Toya Haag, Kabuto, woodchuck
Henry Ernser DVM, Scyther, prairie dog
Ray Lemke, Pidgeotto, clam
Inger Turner, Fearow, wasp
Dusty Collier MD, Tauros, cockroach
Dr. Jacquelyne Terry, Weepinbell, giraffe
Ms. Theressa Orn, Persian, fox
Bill Schmeler, Tangela, water buffalo
Lucrecia Kuvalis, Charmeleon, frog
Antonia Quitzon Sr., Aerodactyl, mammoth
Ms. Delana Bradtke, Magmar, hound
Dr. Elenora Koss, Rhydon, fox
Mitzie Von, Lickitung, alpaca
Irish Gaylord, Nidoking, crow
Nicki Gutmann, Doduo, oyster
Lindsay Ward, Parasect, fox
Freeman Bartell, Alakazam, gnat
Clara Lemke, Weepinbell, bear
Trinidad Conn, Vileplume, macaw
Miss Anderson O'Kon, Meowth, badger
Jaime Rosenbaum, Onix, caribou
Shalonda Lindgren, Primeape, bear
Josephine Wisozk, Spearow, wolf
Von Nader, Venonat, eel
Agnus Armstrong, Growlithe, kangaroo
Harley Bartoletti, Koffing, water buffalo
Kiesha Towne, Sandshrew, minnow
Asia Macejkovic MD, Gyarados, crocodile
Abel Goyette, Geodude, dog
Leonardo Schimmel, Kakuna, spider
Mr. Rodrigo Mueller, Omastar, otter
Alvin Monahan, Omastar, rabbit
Ms. Vashti Conroy, Onix, impala
Carl Kuhlman, Pidgeotto, guinea pig
Rodger Kshlerin, Zubat, dolphin
Theo Ondricka, Gyarados, monkey
Kori Feest, Arbok, badger
