Shavonda Metz, Exeggcute, ferret
Alden Wunsch, Arcanine, kangaroo
Byron Macejkovic, Cloyster, cricket
Malcom Heller IV, Dugtrio, wildebeest
Gale Sporer, Omastar, mole
Carleen Ratke, Porygon, wildebeest
Carline Stark I, Growlithe, dog
Lona Brown, Seaking, donkey
Elisha Altenwerth, Sandshrew, chinchilla
Verlie Dietrich, Omastar, mouse
Paulina Huels, Nidoran, donkey
Mimi Wiza, Cloyster, otter
Corey Strosin, Magnemite, hound
Sang Waters, Wigglytuff, otter
Kacey O'Reilly, Alakazam, pug
Miss Ray Stamm, Mewtwo, bee
Elvia Morissette DDS, Diglett, sardine
Betty Cummerata, Exeggutor, platypus
Anderson Pouros III, Dragonair, caribou
Mrs. Dorie Champlin, Horsea, porpoise
Carlos Schoen, Mankey, dog
Merrill Rodriguez DDS, Rhyhorn, shark
Nick Dooley, Machoke, snake
Quinton Keebler, Omastar, horse
Moshe Kerluke II, Seadra, dinosaur
Miss Claribel Heidenreich, Charmeleon, whale
Sherley Rippin, Poliwhirl, skunk
Lou Blick, Hitmonchan, pug
Ignacio O'Reilly I, Oddish, sea lion
Maxwell Lemke, Wigglytuff, butterfly
Jackson Braun, Goldeen, bee
Mrs. Sharan Larson, Alakazam, pig
Danyel Donnelly, Arbok, deer
Mr. Ehtel Bednar, Ninetales, wildebeest
Lucius Marquardt, Tangela, guinea pig
Emilia Boyle, Nidoking, goat
Mr. Hanna Skiles, Scyther, ape
Ms. Babette Crooks, Gengar, badger
Deeanna Huel Jr., Clefairy, grasshopper
Elton Kuhlman, Zapdos, armadillo
Clifton Zieme, Starmie, wolf
Johnson MacGyver, Primeape, impala
Donnell McGlynn, Tentacool, jellyfish
Han Kohler, Nidoking, giraffe
Gerardo Skiles, Moltres, water buffalo
Mrs. Tonette Cruickshank, Parasect, armadillo
Chance Cronin, Psyduck, dolphin
Lonny O'Keefe, Raichu, mink
Mrs. Bob Stoltenberg, Ditto, skunk
Benton Labadie, Moltres, raven
