Clark Paucek, Kabutops, cod
Joselyn Schiller, Seaking, bat
Kyle Sporer II, Alakazam, swan
Esteban Langosh, Magneton, gnat
Brenna Swift, Ekans, beetle
Terina Goyette, Exeggcute, baboon
Evette Crooks, Mr. Mime, herring
Alvin Senger, Diglett, snail
Rod Hickle V, Ekans, whale
Ms. Luciano Wilkinson, Mewtwo, snail
Lucille Kris, Victreebel, walrus
Charlyn Volkman V, Growlithe, tiger
Willis Harber, Raichu, wildebeest
Dr. Johnny Crooks, Caterpie, lion
Ciara Gulgowski DDS, Blastoise, beaver
Roberta Sporer, Ditto, locust
Tommy Spinka, Gengar, rat
Brain Abshire, Pidgeot, crow
Marco Veum V, Diglett, trout
Jimmy Hauck, Victreebel, jellyfish
Federico Conn, Paras, rabbit
Demetrius Tillman, Rattata, raccoon
Vern Klein, Venonat, hyena
Bulah Klocko, Mankey, cod
Hoyt Bauch, Venusaur, bear
Glenn Nolan, Golbat, snail
Nestor Cronin Sr., Mankey, panda
Daina Casper, Jigglypuff, termite
Mrs. Carlton Braun, Gyarados, whale
Carlton Huel, Blastoise, spider
Michel Hane, Staryu, rat
Tony Roberts, Venonat, seal
Cleo Thiel III, Dewgong, porcupine
Victoria Bins, Charmeleon, hound
Mr. Suk Balistreri, Bellsprout, leopard
Tony Jerde, Vaporeon, serval
Mrs. Nestor Rath, Porygon, hornet
Antonia Ruecker, Arcanine, seal
Miss Eugene Mueller, Porygon, gorilla
Eliseo Dickinson, Rattata, bee
Emilia Morissette I, Muk, walrus
George Gaylord, Squirtle, bear
Jacquelyn Ritchie V, Dragonite, otter
Quinn Rolfson V, Doduo, wombat
Raven Windler, Clefable, moose
Miss Leopoldo Satterfield, Tauros, platypus
Cornelia Gislason, Ekans, jellyfish
Michel Skiles III, Dragonite, crocodile
Kathey Gutmann, Shellder, fish
Colby Schuppe, Tauros, mole
