Ricky Prosacco II, Cubone, antelope
Lucius Hagenes, Charmeleon, jackal
Mr. Leslie Nitzsche, Pikachu, leopard
Almeda Feeney, Dragonair, giraffe
Lowell Jenkins, Tentacool, ox
Ladonna Tromp, Clefable, termite
Sidney McCullough, Weezing, whale
Mrs. Sid Schowalter, Victreebel, jellyfish
Jean Bins, Metapod, antelope
Elroy Spencer PhD, Weepinbell, ant
Lezlie Renner, Hitmonchan, raven
Dalila Bernier V, Rhyhorn, lizard
Cordia Ebert, Starmie, leopard
Corey Purdy, Aerodactyl, oyster
Mathew MacGyver, Kangaskhan, bee
Lissette Brakus, Dratini, chimpanzee
Alia DuBuque, Machoke, worm
Trinh Kub, Nidoking, wolf
Tammie Barton, Jynx, pig
Jay Weimann, Porygon, wallaby
Miss Alia Breitenberg, Venusaur, zebra
Tova Osinski, Dratini, otter
Antonetta Kohler, Hitmonlee, wasp
Tom Spinka, Kadabra, crow
Renato Kohler, Venonat, ox
Karolyn Hilll III, Grimer, oyster
Lasonya Gerhold, Eevee, badger
Delmar Berge II, Golduck, cat
Reagan Reynolds, Vulpix, trout
Carlotta Herman, Cloyster, pug
Salvatore Murphy, Pidgeotto, clam
Ruthann Hilll, Magikarp, mole
Mr. Jefferey Lueilwitz, Dodrio, coyote
Shakia Brown, Voltorb, porcupine
Fiona Davis DVM, Kabutops, goat
Mr. Marisa Beatty, Sandslash, guinea pig
Jayne Wisoky, Nidoqueen, manatee
Jarrod Heathcote, Bulbasaur, worm
Roberto Gerlach DDS, Muk, manatee
Basil Prohaska, Clefairy, mosquito
Rachell Reilly, Kingler, hornet
Walker Friesen, Machop, shark
Horacio Kunde, Hitmonchan, camel
Renea Weissnat, Weezing, toad
Kalyn Considine MD, Seaking, hyena
Erminia Dare, Gyarados, gnu
Augustus Bode IV, Charmander, tiger
Yon Kihn, Magnemite, raven
Lindsey Lind V, Krabby, wallaby
Stacey Abernathy PhD, Magneton, llama
