Raymundo Davis, Poliwhirl, water buffalo
Kassie Hermann, Shellder, mule
Shantay Farrell, Jigglypuff, rhinoceros
Blythe Ledner, Hitmonchan, cockroach
Aubrey Fritsch, Porygon, coyote
Barrett Doyle, Gyarados, mouse
Lelia Crona DVM, Fearow, hound
Arlie Ondricka PhD, Raichu, reindeer
Tandy Bergstrom, Exeggutor, rhinoceros
Latanya Johnson IV, Ponyta, louse
Stephani Gibson, Dodrio, herring
Gerard Donnelly, Snorlax, moose
Reggie Crooks PhD, Dugtrio, eel
Robin Nicolas Sr., Zapdos, ape
Leighann Hauck, Bulbasaur, hippopotamus
Casey Conn, Machamp, tiger
Lois Marvin, Paras, herring
Dr. Augustine Terry, Gastly, porpoise
Dr. Lavonne Roberts, Victreebel, butterfly
Stevie Stehr, Spearow, salmon
France Bogisich, Alakazam, deer
Gilberto Jast, Magikarp, hornet
Ms. Chance Senger, Spearow, koala
Mrs. Beverly Waters, Lickitung, dinosaur
Mr. Trista Price, Hitmonchan, zebra
Mr. Daryl Kunze, Aerodactyl, mosquito
Ciera O'Keefe IV, Magnemite, sheep
Shayla Beer, Wartortle, hamster
Nereida Barton, Metapod, termite
Arnita Pouros, Mewtwo, mammoth
Ira Mueller, Butterfree, walrus
Domenica Kling I, Goldeen, hyena
Ms. Velvet Blanda, Persian, hedgehog
Fermin Gutkowski, Kabuto, bee
Blondell Krajcik Sr., Nidoqueen, scorpion
Cedrick Von II, Sandslash, coyote
Timothy Witting, Wartortle, shark
Alphonso Cartwright, Ponyta, guinea pig
Dr. Dann Luettgen, Gengar, impala
Barb Morar, Tangela, squirrel
Sean Osinski Jr., Pikachu, mule
Izetta Wiza, Nidoran, camel
Darrell Koepp, Eevee, camel
Jessie Kling, Growlithe, lizard
Rodger Nader, Haunter, ox
Miss German Stehr, Kabutops, worm
Parker Mann I, Raticate, dinosaur
Micheal Farrell PhD, Seadra, prairie dog
Leana Goodwin DDS, Persian, mallard
Wendie Fahey Jr., Vileplume, oyster
