Vito Rodriguez MD, Muk, chimpanzee
Lincoln Shields, Ivysaur, mole
Kira Thompson, Drowzee, raven
Mirian Schroeder, Rattata, deer
Mrs. Carol Ruecker, Dragonite, elephant
Gil Grant, Kakuna, gnat
Lulu Beer, Raichu, wallaby
Maryann Bartell, Paras, cattle
Miss Ramon Jerde, Snorlax, tortoise
Mariano Terry Sr., Sandshrew, sea lion
Elvis Fay III, Charizard, crow
Richard Jakubowski, Magikarp, alpaca
Sherwood Jacobs, Onix, bear
Jewel Altenwerth, Seel, beetle
Phung Mohr, Marowak, hedgehog
Cecil Lowe, Slowbro, muskrat
Dale Kautzer DDS, Dewgong, swan
Neomi Ankunding, Machop, hound
Lavonda Denesik, Golduck, serval
Chase Runte PhD, Mankey, snail
Mrs. Reiko Walter, Geodude, cattle
Cary Ernser, Golduck, moose
Leone Kihn, Voltorb, porcupine
Dr. Eleonor Cronin, Slowpoke, chinchilla
Thaddeus Koss V, Clefable, mouse
Augustus Keebler, Marowak, camel
Cindie Labadie, Nidoran, mole
Miss Marlin Mraz, Ponyta, minnow
Isabel Hermann, Dodrio, reindeer
Darren Thiel, Dratini, gnat
Sybil Rippin, Marowak, duck
Janyce Johnson, Oddish, armadillo
Malcom Kilback, Charmander, duck
Jefferey Walter, Lickitung, snake
Dr. Pura Hamill, Paras, seal
Douglass Beer, Arbok, impala
Spencer Herzog, Wartortle, raccoon
Noah Mitchell II, Muk, crab
Otha Hodkiewicz, Mr. Mime, snail
Jaunita Cremin, Kakuna, chinchilla
Thi Lueilwitz, Slowbro, oyster
Bryanna Klocko II, Alakazam, louse
Miss Elliott Parker, Magnemite, fox
Renay Kunze, Beedrill, dolphin
Fern Bergstrom, Ivysaur, ape
Hubert Corwin, Mankey, hamster
Librada Klein, Ivysaur, prairie dog
Wonda Hackett DVM, Tangela, goose
Leatrice Goodwin Jr., Raticate, sea lion
Karie Bosco Sr., Jigglypuff, dinosaur
