Rolando Russel Jr., Tentacruel, giraffe
Abe Becker DVM, Raticate, hare
Cole Kohler, Weepinbell, mallard
Traci Gibson III, Graveler, prairie dog
Hunter Schuster, Nidorino, jellyfish
Bob Paucek, Fearow, whale
Leopoldo Gusikowski, Wigglytuff, zebra
Prudence Berge, Arcanine, zebra
Mrs. Markita Koelpin, Drowzee, gorilla
Evan Wyman, Machop, shark
Jarvis Bednar, Electrode, herring
Pedro Mills, Vaporeon, water buffalo
Harriet Stokes, Diglett, frog
Tyler Gleason, Beedrill, panda
Alden Berge, Magneton, platypus
Neomi Greenfelder, Haunter, locust
Vasiliki Lockman IV, Mankey, fish
Dannie Morissette, Clefairy, wasp
Arlen MacGyver, Seaking, mallard
Barry Rau, Eevee, hedgehog
Ahmad Koepp I, Beedrill, leopard
Amos Kihn, Ivysaur, hyena
Milo Lynch, Kangaskhan, reindeer
Violette Gibson Sr., Slowbro, goat
Camellia Larkin, Moltres, grasshopper
Darryl Ondricka II, Seel, badger
Jeri Carter, Ninetales, sea lion
Julio Braun III, Scyther, snake
Carolyne Buckridge, Lapras, cat
Bryant Kautzer, Kakuna, buffalo
Arlen Wiegand IV, Horsea, ape
Antonio Rolfson, Growlithe, koala
Cole Pfannerstill, Magmar, coyote
Ira Dickinson, Moltres, caribou
Genna Lynch, Poliwhirl, jellyfish
Miss Dusty Moore, Machamp, pug
Victor Beier, Butterfree, ferret
Curt Barrows, Wigglytuff, reindeer
Rosario Bashirian, Gloom, eel
Dennis Berge, Jigglypuff, salmon
Tyisha King, Muk, pug
Alex Fay, Charmander, fish
Brittni Langosh DVM, Rapidash, worm
Lucio Sporer, Growlithe, toad
Son Weimann, Nidoqueen, wolf
Ty Haag MD, Abra, minnow
Lamar Kulas, Mr. Mime, chimpanzee
Lieselotte Herzog IV, Ekans, fly
Van Huel II, Flareon, goldfish
Aaron Stanton, Mr. Mime, dog
