Monte Nader, Rattata, wasp
Olin Braun, Ponyta, giraffe
Patrick Prosacco, Metapod, ape
Maple Rath DDS, Flareon, shark
Miss Randall Johnston, Staryu, rhinoceros
Starr Bruen, Dodrio, porpoise
Sade Lindgren I, Pikachu, cheetah
Lionel Windler, Onix, termite
Corey Adams, Onix, weasel
Kimiko Mayert, Spearow, mink
Angelita Jakubowski, Doduo, ant
Ms. Tracy Gaylord, Wigglytuff, bee
Dominque Larson, Golbat, goldfish
Stan Torphy, Porygon, gorilla
Tracie Miller, Charmander, wolf
Cecil Herman Jr., Gloom, lion
Joseph Nader V, Omanyte, deer
Jean Hessel IV, Clefable, zebra
Vita Satterfield, Diglett, baboon
Harry Hodkiewicz II, Nidorina, alligator
Santa Bruen I, Tentacool, worm
Chi Spencer, Weedle, rabbit
Mabelle Turner, Magneton, woodchuck
Haywood Conroy, Nidorina, eagle
Russell Corwin, Tauros, manatee
Mr. Conception Hayes, Starmie, bear
Blanch Kirlin, Tentacool, moose
Pasquale Strosin, Dragonite, macaw
Ellyn Reinger, Drowzee, swan
Mrs. Brendon Lind, Nidoran, coyote
Chi Johns, Grimer, rabbit
Torrie Kohler Sr., Doduo, cattle
Miss Maria Lindgren, Victreebel, giraffe
Andy Schiller, Vileplume, donkey
Duncan Kovacek Jr., Caterpie, porcupine
Carita Heidenreich, Muk, jackal
Melva Robel, Kangaskhan, chimpanzee
Gaylord Gulgowski, Nidoran, wombat
Jerrod Pollich, Pidgey, koala
Stacia Runte V, Abra, crocodile
Rima Waters, Horsea, giraffe
Brian Stroman, Charmeleon, caribou
Sunni Feil, Flareon, panda
Miguelina Koch, Growlithe, hippopotamus
Angela Dare, Magmar, louse
Dr. Vivien Gusikowski, Hitmonchan, wombat
Mervin Hagenes, Oddish, louse
Forest Lesch, Chansey, goldfish
Henriette Pfannerstill, Oddish, bee
Pauletta Armstrong, Clefairy, bear
