Beau Spinka, Venomoth, dinosaur
Virgil Bergnaum, Gyarados, armadillo
Mattie Smitham IV, Ponyta, cattle
Armando Dach, Moltres, fish
Ellsworth Bartell, Vaporeon, minnow
Earle Littel, Magneton, hyena
Dr. Albert Bayer, Metapod, tortoise
Lannie Prosacco, Omanyte, ant
Malcolm Willms, Electabuzz, spider
Rolland Wisozk, Bellsprout, platypus
Fred O'Hara, Bulbasaur, raven
Jaqueline Wuckert, Kakuna, ant
Elizabet Waelchi III, Growlithe, elk
Dr. Theron Ferry, Psyduck, mosquito
Tobias Reynolds, Aerodactyl, jellyfish
Marchelle Tremblay, Kangaskhan, otter
Adrianna Barton MD, Kangaskhan, horse
Kieth Bernhard, Vulpix, cod
Ms. Gisela Conn, Weedle, locust
Miss Tonisha Bechtelar, Charmeleon, sea lion
Violeta Smith, Squirtle, fox
Shawn Reilly Jr., Machoke, tortoise
Janett Stokes, Vileplume, guinea pig
Lashaunda Monahan, Gengar, crab
Mr. Adam Donnelly, Poliwag, oyster
Charlie Leuschke, Gyarados, badger
Carmen Hand, Lapras, wildebeest
Willian Jaskolski DDS, Nidoran, jellyfish
Hong Runte, Seaking, whale
Oretha Stehr, Poliwag, wildebeest
Brian Bashirian, Sandshrew, mink
Sherrill Franecki V, Kingler, worm
Dreama Hirthe, Poliwag, cat
Merlin Stroman, Pidgeotto, sheep
Mr. Emmanuel Walter, Wigglytuff, pug
Britt Stamm, Nidoqueen, sardine
Arron Ferry, Nidorina, locust
Dr. Margit Gleichner, Omanyte, herring
Chance Bechtelar, Goldeen, mouse
Dr. Lauren Barrows, Nidoran, spider
Tequila Morissette, Omastar, guinea pig
Mrs. Nathanael Leannon, Pinsir, manatee
Lewis Schmitt MD, Pikachu, weasel
Leroy Stoltenberg, Tentacruel, serval
Shery Reinger, Goldeen, swan
Randal Sporer, Oddish, gorilla
Galina Stoltenberg IV, Metapod, beetle
Nga Baumbach, Psyduck, mouse
Mrs. Natasha Yost, Wigglytuff, dinosaur
Miss Nguyet Mayer, Slowbro, ferret
