Karima McGlynn Jr., Seadra, crocodile
Manuel Satterfield I, Omastar, llama
Kenyatta Maggio, Muk, minnow
Anette Roob, Victreebel, swan
Damion McClure, Nidoran, zebra
Fannie Abshire, Parasect, otter
Gigi Walker Jr., Chansey, hippopotamus
Beula Cole PhD, Pidgey, mosquito
Darell Fadel, Shellder, clam
Kaleigh Weber DDS, Drowzee, platypus
Judie Swaniawski, Psyduck, deer
Nikole Gottlieb, Dratini, panda
Harlan Herzog, Persian, horse
Loren Heathcote PhD, Seadra, hound
Christena Padberg DDS, Graveler, swan
Agustin Mante, Exeggcute, serval
Mirta Breitenberg DDS, Weezing, hyena
Dion Pacocha, Fearow, trout
Martha Donnelly, Porygon, coyote
Dr. Vashti Senger, Sandslash, snail
Darnell Bartell, Cloyster, ox
Reginald Sauer, Mankey, wolf
Briana Schaefer, Rhydon, jellyfish
Mr. Sunday Luettgen, Rapidash, mink
Cedrick Mitchell, Drowzee, wasp
Miss Marvin Blanda, Venomoth, alligator
Evan Steuber DVM, Seaking, gnu
Elroy Farrell, Raticate, goldfish
Blanch Buckridge, Charizard, koala
Ron Schmidt DDS, Doduo, ox
Richelle Spinka, Persian, elephant
Ardella Weber Jr., Ekans, louse
Lionel Goyette, Kakuna, goldfish
Shane Tremblay, Nidoqueen, impala
Lonny Leannon, Kangaskhan, camel
Mr. Cinda Luettgen, Golem, mouse
Eda Schowalter, Vulpix, chinchilla
Marlon Nitzsche, Onix, llama
Porsha Mraz, Koffing, donkey
Jerrell Keeling, Sandslash, shark
Julianne Adams, Starmie, lion
Cameron Rodriguez IV, Oddish, goat
Dierdre Tremblay, Farfetch'd, alligator
Hiram Tillman, Mewtwo, mouse
Renae Hudson, Exeggutor, raccoon
Scottie Larson, Nidoran, lion
Mrs. Keshia Huels, Pidgey, buffalo
Dong Gorczany, Mr. Mime, macaw
Belia Batz III, Muk, gerbil
Jake Bradtke, Pinsir, chinchilla
