Rupert Cummerata, Geodude, termite
Shera Christiansen MD, Nidoran, mallard
Mrs. Cortez Muller, Eevee, crocodile
Berniece Wolf, Nidorino, porcupine
Johnathon Moen, Zubat, mink
Mel Berge, Gengar, buffalo
Freeman Gulgowski, Pidgeotto, macaw
Bebe Goldner I, Vileplume, koala
Jacqueline McCullough, Scyther, goose
Patricia McGlynn, Growlithe, cheetah
Wilburn Smitham, Growlithe, clam
Mr. Seymour Bode, Graveler, gnu
Alexis Mueller, Weezing, alpaca
Shanda Barrows, Lickitung, donkey
Roy Kunze, Hypno, gnat
Arden Hickle, Dragonite, beaver
Rashida Greenfelder, Ditto, gorilla
Alta Durgan, Spearow, tortoise
Esteban Crooks, Pidgeot, sardine
Gustavo Hartmann II, Poliwrath, crow
Aron Howell, Jigglypuff, cricket
Ona Stiedemann, Pidgey, muskrat
Ms. Tamisha Balistreri, Paras, mouse
Ms. Toby Zieme, Beedrill, wildebeest
Pete Lebsack V, Poliwrath, cicada
Miss Ngan Stracke, Drowzee, impala
Joelle Kuhic, Magneton, gerbil
Mao Quigley III, Weezing, sheep
Rea Upton DVM, Zapdos, mouse
Maya Keeling, Charizard, cattle
Dessie Hand Jr., Marowak, turtle 
Pierre Shanahan, Charmeleon, mallard
Lyndon Beahan, Sandshrew, buffalo
Dr. Bambi Goyette, Charizard, mosquito
Toi Brown, Dratini, bee
Cliff Reynolds, Farfetch'd, fish
Miss Darrick Haley, Dragonite, beaver
Mrs. Efrain Kihn, Dodrio, prairie dog
Graham Kuhic, Kangaskhan, muskrat
Rigoberto Rath, Persian, clam
Joey McDermott, Rhydon, zebra
Sommer Kunze, Sandshrew, whale
Jamaal Hagenes, Seaking, rat
Mauricio Stoltenberg MD, Scyther, shark
Karlyn Anderson, Machoke, wildebeest
Katia Hilpert, Magikarp, weasel
Dr. Lane Schmitt, Sandshrew, goat
Mora Parker Sr., Oddish, alligator
Annabell Mueller, Vulpix, snake
Rolande Mueller, Rattata, guinea pig
