Pamelia Bahringer, Magikarp, reindeer
Jamila Kuhic IV, Venonat, tiger
Mrs. Loreta Jones, Nidoking, giraffe
Elmo Kilback, Goldeen, elk
Arthur Gottlieb, Gyarados, yak
Terri Franecki, Bulbasaur, hedgehog
Jerome Dickens, Electrode, zebra
Dick Osinski PhD, Ditto, raven
Carlos Bauch, Mewtwo, bear
Javier Von, Jynx, pig
Mrs. Marcellus Walsh, Ninetales, cheetah
Shawana Hackett, Magikarp, yak
Brice Brekke, Weezing, pig
Doria Ankunding, Poliwag, water buffalo
Jonas Lesch MD, Growlithe, yellowjacket
Reta Homenick, Drowzee, gnu
Wesley Morar, Farfetch'd, manatee
Dr. Carson Koch, Psyduck, butterfly
Damion Turner, Golduck, gorilla
Gerry Herman DDS, Ekans, swan
Mr. Rex Fritsch, Tangela, serval
Jessia Johnston DDS, Haunter, snake
Gregg Glover, Pidgeot, bee
Elmer Schoen, Lickitung, clam
Randell Ullrich Sr., Blastoise, fox
Delicia Heaney PhD, Poliwrath, kangaroo
Chan Rowe, Nidoran, butterfly
Estella Lesch, Zubat, hyena
Armando Daniel, Jolteon, swan
Ms. Ariel Pollich, Mr. Mime, dolphin
Salena Mayert IV, Vileplume, gerbil
Seymour Zemlak, Weezing, gnat
Mrs. Lynn Cartwright, Seadra, mouse
Stacia Murray, Farfetch'd, caribou
Mohammed Gusikowski, Kingler, marten
Kenisha Lubowitz III, Nidoqueen, ape
Jessica Will, Parasect, prairie dog
Loyce Schamberger Sr., Eevee, wombat
Dena Reynolds Jr., Staryu, chimpanzee
Rubi Schuppe MD, Squirtle, coyote
Pedro Lowe, Bellsprout, goat
Marybelle Rippin, Vileplume, buffalo
Ira Macejkovic, Machoke, giraffe
Erlene Rippin, Slowbro, jellyfish
Niki Grady, Gyarados, mule
Rudolph Hansen PhD, Exeggutor, worm
Mr. Candida Mosciski, Golduck, sea lion
Don Lueilwitz, Weedle, mouse
Ms. Kelly Goyette, Raticate, snail
Dr. Ezekiel Smitham, Kabutops, cricket
