Louella O'Keefe Sr., Raticate, locust
Salvatore Braun PhD, Arbok, jackal
Terrence Schneider, Paras, jackal
Danny Walker, Nidoran, gerbil
Almeta Friesen Jr., Arbok, snake
Bert Boehm, Dodrio, crocodile
Elmo Kessler V, Poliwrath, snake
Al Keeling, Eevee, ferret
Jayson Kshlerin I, Krabby, hornet
Chang Deckow I, Grimer, hyena
Mrs. Jeromy Stamm, Krabby, buffalo
Vance Lesch DDS, Psyduck, macaw
Jermaine Ward, Ivysaur, zebra
Dr. Meg Grant, Caterpie, squirrel
Mrs. Rudolph Hackett, Seaking, impala
Damien Huels, Geodude, porcupine
Miss Krystle Emmerich, Wartortle, leopard
Mike Kertzmann, Poliwrath, yellowjacket
Ranee Jenkins, Exeggcute, seal
Carlene Nitzsche, Ivysaur, platypus
Deshawn Botsford, Hypno, sea lion
Fritz Friesen, Dragonair, mink
Hai Braun, Geodude, clam
Tonia Mayer, Electrode, turtle 
Marcos Schumm IV, Squirtle, alligator
Miss Shakia Franecki, Meowth, water buffalo
Earl Doyle, Ivysaur, goldfish
Lashonda Jenkins, Electrode, cricket
William Jerde, Machoke, hedgehog
Otto Okuneva, Seel, platypus
Dr. Alba Dare, Sandshrew, snake
Mr. Rasheeda Schmidt, Haunter, hornet
Mr. Tommy Kertzmann, Porygon, ox
Dennis Blick Jr., Muk, beetle
Cletus Rempel, Chansey, salmon
Kristel Hermann, Nidoqueen, mallard
Alfred Rutherford, Electrode, pig
Raquel Mante, Sandslash, cat
Mrs. Velia Fahey, Mr. Mime, fly
Albert Wilderman DVM, Tauros, ant
Gerald Block, Jolteon, cricket
Teodoro King, Sandshrew, wildebeest
Cher Goldner, Kingler, cheetah
Vonnie Stoltenberg, Vileplume, tortoise
Warner Goyette, Chansey, trout
Thurman Mueller DVM, Wigglytuff, mule
Jenifer Boyer, Moltres, manatee
Merle Trantow DDS, Seel, antelope
Mrs. Anjanette Mitchell, Omanyte, gnu
Mr. Delmar Gleason, Nidoran, jellyfish
