Eddie Russel IV, Charmeleon, scorpion
Brandon Bashirian, Flareon, seal
Howard Rohan, Horsea, manatee
Pasquale Rosenbaum Sr., Rhyhorn, locust
Aura Dicki V, Gloom, rabbit
Robert Carter, Weepinbell, weasel
Jacqui Wuckert, Fearow, turtle 
Adelina Langworth, Articuno, camel
Patti Wuckert, Lapras, pug
Hector Klocko, Squirtle, weasel
Derick Willms, Sandshrew, goat
Clorinda Prosacco, Wigglytuff, dolphin
Ms. Suellen Smith, Koffing, beaver
Kellee Hyatt, Machop, bee
Miss Minh Rogahn, Zapdos, baboon
Mrs. Mimi Rau, Scyther, pug
Raphael Graham, Rhyhorn, dinosaur
Dr. Amira Kub, Alakazam, goat
Warren Ernser, Magikarp, elk
Jacqulyn Legros, Wartortle, zebra
Buster Corwin, Geodude, panda
Mallory Mills II, Ditto, mosquito
Ardelia Dooley, Graveler, llama
Tyron Bergstrom, Magikarp, mallard
Alberta Lowe DVM, Horsea, prairie dog
Devon King, Weepinbell, marten
Rodolfo Kohler, Rapidash, coyote
Odell Parisian V, Kadabra, cat
Tameika Muller, Parasect, cat
Dr. Oscar Gaylord, Wigglytuff, yellowjacket
Antonina Christiansen, Rhydon, yellowjacket
Vernita Gottlieb, Moltres, snail
Amado Schimmel, Gyarados, muskrat
Milo McKenzie, Jynx, frog
Ahmad Ruecker, Rattata, cockroach
Yon Bashirian I, Rhyhorn, goose
Dan Jones, Metapod, sheep
Joesph Osinski, Machop, dolphin
Angelia Douglas, Magneton, pig
Ms. Barry Russel, Dragonair, tiger
Orlando Hessel, Nidoqueen, sheep
Eusebia Bergstrom, Nidorino, cheetah
Mr. Dewey Goldner, Rhyhorn, goat
Bertram Leannon IV, Rapidash, camel
Elliot Krajcik, Staryu, bear
Yuk Jast, Dewgong, llama
Fatima Tromp I, Goldeen, tiger
Kip Spencer, Raichu, raccoon
Dee Cremin, Abra, jackal
Zachariah Stracke, Doduo, ferret
