Moira Walsh, Tangela, hyena
Velma Hamill, Ivysaur, alligator
Iliana Oberbrunner, Magikarp, tortoise
Zachary Walter, Kabutops, clam
Kaleigh Dickens, Psyduck, kangaroo
Honey Miller, Chansey, ferret
Gussie Romaguera, Metapod, fly
Maple Hahn, Haunter, crocodile
Donald Kilback, Victreebel, kangaroo
Raisa Spinka, Goldeen, dolphin
Joi Homenick, Geodude, salmon
Quinn Altenwerth, Muk, moose
Cindi Kutch, Koffing, giraffe
Michale McGlynn, Squirtle, platypus
Frankie Emard III, Magneton, trout
Benjamin Stiedemann Sr., Spearow, seal
Juan Schaden, Growlithe, woodchuck
Freeman Treutel, Arbok, beetle
Dr. Kennith Feil, Magnemite, zebra
Ivan Weber Jr., Diglett, scorpion
Magen Sanford, Raticate, walrus
Perry Parker, Kabutops, ox
Mrs. Agripina Barton, Charmeleon, llama
Jules Erdman, Haunter, marten
Aundrea Goyette, Charizard, deer
Luz Ratke, Voltorb, hornet
Dr. Tynisha Hane, Kabuto, cockroach
Winfred Emmerich, Onix, scorpion
Elijah Sauer Sr., Poliwag, porpoise
Mr. Heriberto Bahringer, Zapdos, mink
Dr. Soila Schneider, Eevee, hare
Gema Marquardt, Gloom, sea lion
Nichole Murray, Zubat, dog
Dr. Roberto Hammes, Seadra, lion
Miss Ezekiel O'Keefe, Ditto, cheetah
Dr. Irvin Weimann, Ivysaur, weasel
Mrs. Quyen Jakubowski, Diglett, giraffe
Isreal Emmerich, Alakazam, rhinoceros
Rigoberto Rutherford, Pidgeot, fly
Dona Jenkins II, Lickitung, leopard
Tamiko Torphy, Raichu, raven
Ms. Johanna Powlowski, Nidoqueen, fish
Luetta Gulgowski Sr., Persian, reindeer
Dominique Anderson MD, Rhyhorn, muskrat
Omer Medhurst, Gloom, salmon
Analisa Torp, Sandslash, duck
Audra Hilpert, Mankey, macaw
Antonia Spencer, Venomoth, sardine
Jordon Legros MD, Nidoran, raccoon
Esperanza Lynch, Goldeen, horse
