Federico Lang, Wigglytuff, caribou
Grover Jacobson, Caterpie, wildebeest
Juan Hills, Dewgong, baboon
Brian Moore, Farfetch'd, wolf
Columbus Hand, Horsea, goat
Miss Lindsay Runte, Kangaskhan, hound
Santana Konopelski, Doduo, lion
Dr. Delila Kiehn, Chansey, deer
Randall Welch, Tauros, macaw
Annabell Gleichner, Flareon, dinosaur
Raphael Mayert, Arcanine, gnat
Mr. Josiah Kassulke, Kabutops, cod
Ms. Jae Zulauf, Parasect, leopard
Randell Schumm, Graveler, zebra
Pamula Hirthe, Raichu, gnat
Phil Gibson, Voltorb, alpaca
Kyle Goldner I, Goldeen, trout
Ranae Cruickshank, Nidoran, water buffalo
Jasper Roob I, Charmeleon, chimpanzee
Royce Orn, Abra, squirrel
Jess Parker, Machop, crow
Geoffrey Volkman, Parasect, coyote
Miss Monserrate Weber, Ivysaur, goldfish
Kallie Kozey, Tentacool, camel
Patricia Gottlieb, Jolteon, dog
Bruno Dickens IV, Magmar, antelope
Dewitt Rutherford, Slowpoke, eel
Inge Haag, Beedrill, wasp
Suzann Waters, Pidgey, beaver
Dr. Mariella Sipes, Farfetch'd, rabbit
Miss Georgetta Hegmann, Caterpie, eagle
Barney DuBuque, Mankey, woodchuck
Crista Green MD, Dragonair, pug
Karol Boyer, Cubone, hare
Jacques Hintz IV, Persian, herring
Francis Streich MD, Articuno, coyote
Fletcher Roob V, Magmar, coyote
Tempie Sporer, Jigglypuff, woodchuck
Mr. Berry Yundt, Kingler, butterfly
Mr. Dana Crist, Mr. Mime, mosquito
Lavada Schaden, Marowak, fox
Herb Cartwright, Hitmonlee, bee
Wm Kunde, Fearow, spider
Leopoldo Koss, Zubat, hound
Kent Krajcik, Geodude, koala
Annabelle Kreiger, Dugtrio, macaw
Monique McCullough, Wartortle, koala
Loren Reinger, Slowbro, tiger
Mrs. Leonore Blanda, Shellder, cricket
Miss Chantel Torp, Doduo, antelope
