Nadene Pollich DVM, Growlithe, whale
Ila Tillman, Tauros, ape
Brittny Vandervort III, Oddish, weasel
Debroah Altenwerth, Flareon, cicada
Ericka Little, Ponyta, hamster
Anthony Batz, Mew, locust
Shirlene Schaden, Victreebel, koala
Michel Schinner, Magneton, dog
Alisha Sanford, Weezing, seal
Sang Kshlerin DVM, Gengar, gorilla
Lakendra Bartoletti, Flareon, elk
Sonja Auer DVM, Haunter, walrus
Diego Adams II, Butterfree, tiger
Mr. Kenda Ebert, Farfetch'd, butterfly
Elbert Romaguera, Muk, tortoise
Robert Bednar I, Dratini, hamster
Shirleen Wilkinson III, Pidgeotto, skunk
Christoper Crist, Victreebel, wildebeest
Quinn Klein, Rattata, crow
Lynne Davis, Jynx, panda
Rodger Littel, Golem, alpaca
Lance Bogisich DDS, Dragonair, ape
Ronny Wintheiser, Venomoth, raccoon
Carolin Collins, Spearow, eel
Ms. Minnie Bartoletti, Gloom, beetle
Haydee Rowe DVM, Butterfree, manatee
Carrol Pagac, Gastly, skunk
Estella Hackett, Squirtle, salmon
Evan Kiehn PhD, Machamp, cicada
Mr. Cortez Marvin, Nidoking, horse
Selma Pacocha MD, Meowth, spider
Adaline Bednar, Ninetales, louse
Maryanna Botsford, Charmeleon, donkey
Lovie Hodkiewicz I, Poliwag, wasp
Antoine Konopelski, Haunter, dolphin
Les Bins I, Venonat, wildebeest
Lamonica Steuber I, Dodrio, wasp
Sheena McKenzie, Gastly, water buffalo
Mr. Sierra Pfeffer, Ditto, butterfly
Ms. Kathie Hickle, Jigglypuff, guinea pig
Christene Johnston, Kangaskhan, monkey
Russell Fahey, Onix, woodchuck
Salley Witting, Magmar, beetle
Crysta Ortiz, Pidgeotto, antelope
Napoleon Lowe DDS, Weezing, elephant
Emmett Morissette, Paras, sardine
Miss Rosita Blanda, Wigglytuff, reindeer
Hugo Hayes, Snorlax, reindeer
Reinaldo Hettinger, Mr. Mime, koala
Fern Auer II, Starmie, water buffalo
