Edgar Weber, Pidgey, butterfly
Mr. Thora Leuschke, Electrode, mole
Phoebe McCullough, Sandshrew, horse
Samual Ebert, Pinsir, mouse
Mrs. Ardell Ferry, Grimer, muskrat
Leigh Batz, Weedle, pig
Mrs. Hassie Schmeler, Goldeen, pug
Rickie Ankunding, Kabutops, beetle
Many McLaughlin, Muk, frog
Benedict Tromp, Growlithe, muskrat
Eugenia Lesch, Golduck, rhinoceros
Reyna Marquardt, Omastar, marten
Salena Cummings, Mewtwo, bee
Jorge Greenfelder, Sandslash, ant
Delmy Smitham, Charmeleon, zebra
Kallie Schulist, Sandshrew, sea lion
Cecille Wehner, Slowbro, wombat
Ulysses Adams, Ivysaur, minnow
Lorina Jones, Muk, tiger
Darrell Howe, Omastar, cattle
Muoi Stiedemann, Machamp, elk
Jordan Blick, Nidoking, worm
Mrs. Huey Block, Beedrill, beaver
Madaline Mueller, Porygon, crow
Mr. Carin Volkman, Farfetch'd, fox
Bryan Rice, Kangaskhan, caribou
Desiree Mitchell, Drowzee, crab
Mrs. Pura Huels, Seaking, horse
Beula Willms, Parasect, coyote
Gonzalo Kemmer, Dragonite, hornet
Colin Parisian, Ekans, rat
Dustin Schaefer, Charmeleon, fly
Jessenia Russel, Lickitung, pug
June Wisoky III, Lickitung, shark
Sammie Kassulke, Kakuna, rat
Jaime Bartell, Kadabra, louse
Newton Hahn, Sandshrew, cod
Mr. Sheldon Hagenes, Nidoking, yak
Andrew Leannon, Squirtle, gnu
Margarito Stehr II, Primeape, buffalo
Lavinia Hayes, Rhydon, porpoise
Darrell Bauch, Wigglytuff, hare
Brad Price IV, Mankey, ant
Eldon Schumm, Ivysaur, cattle
Blythe Feest, Krabby, minnow
Al Gottlieb, Diglett, shark
Joaquin Hodkiewicz, Kabutops, scorpion
Morgan Christiansen, Sandslash, toad
Raymond Sporer, Seadra, raccoon
Brad Kris DVM, Dratini, cricket
