Dr. Julienne Heaney, Tauros, hamster
Ms. Otis Bernhard, Kadabra, mosquito
Alyson Jakubowski, Koffing, armadillo
Dirk Armstrong, Koffing, whale
Jerrold Mitchell, Cubone, antelope
Freddy Feest Sr., Victreebel, platypus
Nathalie Renner, Meowth, mammoth
Lesley MacGyver, Weezing, locust
Junior Koch, Lapras, manatee
Karima Rowe, Machoke, ant
Murray Goldner, Rattata, ape
Ms. Joshua Feest, Fearow, moose
Raymon Hoppe, Scyther, hedgehog
Donnell Weissnat, Snorlax, pug
Mrs. Reuben Hegmann, Gyarados, crocodile
Marx Bogisich Jr., Exeggutor, moose
Dr. Elfriede Hayes, Gyarados, tortoise
Miss Milda Hudson, Muk, sea lion
Landon Lindgren, Hitmonlee, moose
Monty Conn, Victreebel, marten
Tracy Morissette V, Wigglytuff, guinea pig
Luisa Yost, Omastar, toad
Miss Thea Kuvalis, Bellsprout, deer
Cyrus Lowe, Victreebel, eagle
Nova Hayes, Beedrill, ant
Mr. Odessa Prosacco, Zapdos, water buffalo
Victor Goyette, Beedrill, alpaca
Elvina Corkery, Caterpie, rabbit
Alvin Rohan MD, Ivysaur, duck
Deandre Fritsch, Ekans, platypus
Ernie Mueller, Kingler, crow
Kenia Davis, Raticate, wallaby
Clay Brown, Gengar, hamster
Liz Pacocha, Kakuna, bee
Dr. Tonja Gaylord, Charmeleon, mallard
Jarrod Harris Sr., Dragonair, elk
Jose Hermann, Sandshrew, eel
Charlie Yost, Bellsprout, cod
Kenton Bartell, Shellder, snail
Carlos Bosco, Magnemite, sardine
Han Klein MD, Machoke, ape
Kyla Lubowitz, Poliwhirl, porcupine
Clementine Walter, Vulpix, yellowjacket
Gaynell Lowe, Onix, fly
Joey Swaniawski, Staryu, frog
Rosendo Daniel III, Weepinbell, guinea pig
Polly Little, Nidoqueen, mole
Jesse Jerde, Dragonite, elk
Adell Gutmann, Diglett, guinea pig
Emilio Kassulke, Primeape, moose
