Lanny Cummerata, Beedrill, trout
Margo Lind, Muk, coyote
Brice Goodwin, Poliwhirl, sea lion
Galina Mosciski, Krabby, alpaca
Quinn Mohr, Machoke, skunk
Martina Raynor, Scyther, herring
Jeanice Kuhlman DDS, Parasect, scorpion
Dallas Kutch IV, Hitmonchan, chimpanzee
Issac Schimmel, Dragonair, serval
Quinn Crooks, Raticate, minnow
Brooks Ritchie, Electabuzz, worm
Alex Larkin, Tentacruel, llama
Cyndi Thompson, Arcanine, minnow
Dr. Buddy Marks, Rapidash, snail
Jerri Rowe, Farfetch'd, cicada
Raphael Dare, Pinsir, trout
Elma Orn PhD, Rhyhorn, pig
Kieth Hane, Primeape, turtle 
Modesto Schmitt, Psyduck, swan
Kathe Osinski, Lapras, camel
Jacob Veum, Ditto, lion
Andy Rutherford, Nidoran, wombat
Eldora Mertz, Articuno, grasshopper
Spencer Aufderhar IV, Charizard, macaw
My Zboncak, Vaporeon, gnat
Scottie Farrell, Weedle, muskrat
Andreas Rath I, Hypno, crab
Mr. Serita Crooks, Koffing, cat
Tammy Spinka, Dragonite, horse
Zachariah Powlowski I, Kingler, panda
Yun Jenkins DVM, Gloom, frog
Cedrick Corwin, Horsea, duck
Mr. Hannelore Abbott, Raticate, dinosaur
Gary Kiehn, Porygon, dinosaur
Milo Daniel PhD, Psyduck, duck
Elmo Kuhic, Tentacruel, hyena
Rufus Bednar, Poliwrath, mosquito
Tricia Kuphal, Nidoran, frog
Arnold Waelchi, Mankey, manatee
Justin Mills, Vileplume, camel
Lakeisha Donnelly, Koffing, tortoise
Dr. Todd Gutkowski, Venonat, reindeer
Amberly Schimmel, Chansey, hyena
Carolann Hammes, Golem, squirrel
Demarcus Wiegand, Venonat, zebra
Ms. Lionel Gutkowski, Tentacruel, squirrel
Consuelo Kreiger Jr., Wigglytuff, hornet
Claris Zboncak, Kabuto, manatee
Edwina Fahey, Magmar, locust
Lou Harris, Doduo, moose
