Tiana Harber V, Staryu, pig
Cornell Kassulke, Zubat, baboon
Brittani Dickens Sr., Cloyster, badger
Anya Walter, Weezing, yak
Adrien Prohaska, Nidorino, antelope
Becki Goodwin, Rhydon, walrus
Therese Fritsch, Koffing, louse
Maynard Hammes DDS, Golbat, hippopotamus
Marlon Langworth, Dugtrio, deer
Towanda Purdy, Bulbasaur, eagle
Tonisha Batz, Magnemite, mallard
Claribel Weber, Blastoise, alpaca
Dr. Dylan Schaden, Fearow, scorpion
Dr. Cameron Bailey, Butterfree, otter
Tyrell Weimann, Growlithe, crow
Darrick Schuster, Sandshrew, worm
Charline Daugherty, Vulpix, raven
Simone Mosciski Jr., Onix, raccoon
Dr. Emmitt Ankunding, Clefable, beetle
Lavette Anderson, Bellsprout, grasshopper
Ozie Marquardt, Muk, hornet
Valene Champlin, Rhyhorn, herring
Robt Marquardt, Aerodactyl, alligator
Alec Stark, Nidorina, platypus
Patience Rogahn II, Doduo, jellyfish
Jeffrey Murray, Oddish, goldfish
Donald Lakin Jr., Bellsprout, raccoon
Stacia Hoeger, Raticate, wallaby
Mitch Bins, Flareon, dog
Dennise Tillman V, Bulbasaur, gerbil
Dorthy Friesen, Eevee, sardine
Stephani Fadel, Porygon, whale
Jamey Jenkins PhD, Cubone, scorpion
Albertha Hackett, Grimer, platypus
Sabina Kessler PhD, Vaporeon, weasel
Rusty Hermann II, Arbok, prairie dog
Mr. Marcus Gottlieb, Tentacool, wildebeest
Shanel Baumbach, Kingler, fly
Hildred Moore, Eevee, frog
Tamela Lebsack, Porygon, ox
Johnnie Raynor, Poliwrath, herring
Miss Retha Howell, Grimer, clam
Maurice Connelly, Rattata, goat
Nancee Gerlach, Graveler, hamster
Drew Schneider, Porygon, mole
Shera Lowe, Kakuna, moose
Ms. Hilario Brekke, Zubat, eel
Ms. Kendall Davis, Nidorino, zebra
Quintin Goldner, Snorlax, cheetah
Mac Price, Voltorb, camel
