Carylon Mitchell, Rhyhorn, cricket
Vern Pfeffer, Ivysaur, antelope
Ms. Odette Nienow, Electabuzz, bear
Inell Bechtelar, Machamp, hornet
Josefina Abbott DVM, Eevee, fox
Mr. Ara Runte, Seel, kangaroo
Mrs. Shaunte Runolfsson, Vileplume, pig
Erma Stroman, Sandslash, rabbit
Vertie Oberbrunner, Venonat, mule
Delila Pagac PhD, Ditto, sardine
Tracey Stracke, Pidgey, snake
Fabian Cassin, Graveler, muskrat
Annmarie Runte, Ivysaur, termite
Aron Buckridge, Lickitung, shark
Mrs. Casey Bednar, Mr. Mime, muskrat
Keven Daniel, Blastoise, sardine
Miss Moshe Keebler, Machamp, reindeer
Sharon Macejkovic, Squirtle, mouse
Delmer Hoeger, Marowak, gnu
Mrs. Dewayne Olson, Slowpoke, lion
Bess Prohaska, Kabuto, hornet
Freddie Rowe, Ponyta, tiger
Mr. Sandy Johnson, Oddish, cockroach
Samual Williamson V, Mr. Mime, frog
Sonya Lynch, Krabby, fox
Clara Zboncak, Chansey, rabbit
Kelvin Swift, Ditto, raven
Johana Swift, Cubone, fish
Ranae Kessler, Nidorino, buffalo
Chana Legros, Dratini, goose
Bo Stehr, Fearow, dolphin
Loris Tillman, Onix, cattle
Lilian West PhD, Graveler, prairie dog
Mrs. Clement Wintheiser, Caterpie, pug
Takisha Treutel I, Articuno, pig
Dr. Renato Effertz, Victreebel, rabbit
Savanna Hessel, Kabuto, clam
Vivienne Heaney, Growlithe, otter
Malia Buckridge MD, Beedrill, whale
Samuel Schamberger, Porygon, squirrel
Dr. Alfonzo Runolfsson, Voltorb, ape
Mrs. Lon Terry, Magneton, beetle
Earnest Roob IV, Gyarados, raccoon
Rachell Gleichner, Vulpix, wombat
Benjamin King, Aerodactyl, wolf
Tanner Denesik, Haunter, goose
Ida Skiles, Mew, beaver
Sixta Collins, Raichu, dog
Cristine Treutel, Exeggcute, chinchilla
Brice Herman V, Zubat, ant
