Miss Bret Mueller, Tentacruel, shark
Fransisca Mitchell, Arcanine, jackal
Gregory Klein, Pidgey, snail
Valda Littel, Growlithe, panda
Adella Feil, Mankey, cicada
Lisette Champlin III, Ekans, ape
Tom Senger, Krabby, eagle
Mr. Gilbert Marquardt, Oddish, ant
Colby Gutmann, Gengar, otter
Leonie D'Amore, Psyduck, reindeer
Dacia Bergnaum Jr., Dodrio, minnow
Ms. Rudolph Kling, Staryu, hornet
Valeri Hansen, Clefairy, baboon
Domingo Prohaska, Paras, rabbit
Nicki Gislason, Spearow, wolf
Pedro Reichert, Bulbasaur, gnat
Kenny Kovacek, Jynx, hamster
Dr. Alba Crona, Koffing, ant
Hue Jacobs, Articuno, bear
Mr. Allen McCullough, Mew, badger
Teri Bauch, Meowth, coyote
Quinn Moen, Charmeleon, sheep
Lamar McGlynn, Scyther, jackal
Francisco Carter, Abra, ant
Temeka Hand, Zubat, butterfly
Dr. Elina Bruen, Seadra, water buffalo
Kenyetta Ondricka, Dragonite, squirrel
Ms. Glen Gusikowski, Mew, mallard
Dr. Luis Senger, Moltres, rhinoceros
Gena Purdy, Alakazam, caribou
Dr. Cyndi Bogan, Grimer, gnu
Lilia Schulist, Victreebel, cricket
Patricia O'Connell, Chansey, gerbil
Horace Cronin, Abra, wallaby
Galen Tillman DVM, Hypno, dog
Hong Torp, Farfetch'd, manatee
Kyung Grant, Seaking, crow
Sachiko MacGyver, Nidorina, hare
Tammera Hammes, Staryu, water buffalo
Ms. Norris Kessler, Dragonite, antelope
Noble Romaguera, Marowak, crocodile
Hayden Cartwright MD, Electrode, squirrel
Joaquina Wehner V, Porygon, wasp
Kyle Gutmann, Porygon, jellyfish
Lincoln Osinski, Nidorino, porpoise
Hui Smith, Pidgeot, goose
Valentin Brekke, Aerodactyl, weasel
Lekisha Breitenberg, Nidoran, gnu
Dr. Corene Predovic, Growlithe, koala
Agustin Gottlieb DVM, Nidorino, grasshopper
