Donita Beatty, Articuno, fly
Augusta Beer, Ninetales, cockroach
Ezra Dibbert, Paras, reindeer
Jason Hessel DDS, Spearow, leopard
Miss Dewey Pfannerstill, Ditto, oyster
Willene Yundt, Nidoqueen, porcupine
Dr. Adolfo Schneider, Gastly, mink
Don Buckridge, Paras, goldfish
Anne Haley, Golbat, minnow
Novella Hills, Kadabra, hare
Rhonda Tremblay, Charmander, porcupine
Kai Schamberger, Butterfree, crocodile
Olen Thiel, Golem, monkey
Norman Murazik, Electrode, minnow
Delfina Gibson DVM, Pikachu, fish
Ms. Cortez Gislason, Pinsir, butterfly
Rosio Upton, Beedrill, louse
Cammy Runolfsdottir PhD, Machamp, yellowjacket
Marty Moen DVM, Ekans, ox
Mrs. Olen Pfannerstill, Voltorb, donkey
Leta Dare DDS, Fearow, guinea pig
Mrs. Matt Aufderhar, Marowak, louse
Brittny Marks, Magmar, elk
Miss Leo VonRueden, Persian, crab
Yolando Pfeffer, Nidorino, cod
Solomon Abernathy, Jynx, ferret
Lise Ryan DDS, Zubat, raven
Nakia Keeling, Pinsir, leopard
Milton Harvey, Jynx, llama
Dr. Evia Gutkowski, Weedle, wombat
Consuela Johnston, Farfetch'd, monkey
Charles Hirthe MD, Magmar, ape
Nathanael Jakubowski, Caterpie, monkey
Tristan Abernathy III, Hitmonchan, lion
Mario Medhurst, Hitmonlee, platypus
Mr. Cassaundra Crist, Exeggcute, moose
China Bayer, Jolteon, bee
Lucien Rath, Arcanine, bear
Diego Kozey, Nidoking, yak
Keitha Dibbert, Dragonite, hound
Torrie Torp, Vulpix, worm
Rhonda Bins, Caterpie, alligator
Mariana Reynolds DVM, Pikachu, panda
Roger Bechtelar, Weedle, deer
Annamaria Barrows, Ponyta, dolphin
Mallory Rutherford, Kingler, rabbit
Esther Nienow, Voltorb, mosquito
Milly Friesen, Raichu, porpoise
Ms. Fannie Koepp, Caterpie, hare
Gale Pagac, Vileplume, salmon
