Waneta Ledner DDS, Slowpoke, snail
Claude Denesik, Doduo, reindeer
Nelle Lindgren, Seel, porpoise
Mr. Mac Franecki, Diglett, cattle
Marc Connelly, Squirtle, rabbit
Dan Rodriguez, Pidgeot, cod
Alethea Kertzmann II, Slowpoke, wombat
Steven Kilback, Butterfree, snake
Mr. Tula Kirlin, Slowbro, otter
Vashti Daniel, Golbat, grasshopper
Tyree Dickinson, Magnemite, hornet
Bradley Will DVM, Vulpix, gnu
Ja Mayer, Seaking, yak
Ms. Hana Raynor, Tangela, turtle 
Booker Moen, Onix, zebra
Mack Marquardt, Slowbro, worm
Mohamed Wunsch, Starmie, eel
Casey Fisher Jr., Jynx, alligator
Mr. Donald Lang, Machamp, jackal
Jackson Davis, Rapidash, walrus
Miss Candelaria Olson, Cubone, raccoon
Sarita Fisher, Moltres, wasp
Shaun Wilderman, Jynx, frog
Miss Mike Boyer, Venonat, reindeer
Mrs. Nettie Ruecker, Electabuzz, beetle
Tommy Hickle, Seel, ape
Dr. Asha Wisozk, Weezing, wasp
Scot Block, Ekans, goat
Lazaro Ernser, Hitmonlee, hound
Marcel Barton, Wartortle, squirrel
Mr. Tamar Beer, Golem, pug
Bryce Zboncak, Haunter, guinea pig
Micaela Goodwin, Arcanine, giraffe
Chauncey Gibson, Marowak, kangaroo
Millard DuBuque, Tentacool, ant
Lee Corkery, Golduck, mallard
Lauralee Waelchi, Bellsprout, porpoise
Teddy Altenwerth IV, Nidorina, duck
Ms. Clayton Auer, Pidgeotto, guinea pig
Dr. Emmett Spencer, Persian, cod
Ismael Senger, Sandshrew, mole
Elke Kovacek, Jynx, dog
Ms. Jose Goyette, Venusaur, toad
Cyrus Russel, Cloyster, bear
Sal Grant, Growlithe, worm
Mr. Asa Quigley, Eevee, trout
Laura Gutmann, Eevee, panda
Phil Mante, Rhyhorn, rabbit
Josef Bartell, Goldeen, wolf
Allen Kreiger, Tentacruel, skunk
