Mel Harvey DVM, Pidgey, gnu
Bonita Feil, Charmeleon, lizard
Thomasina Gerhold III, Weezing, toad
Odette McCullough, Horsea, caribou
Alena Schaefer, Nidorina, hedgehog
Man Labadie DVM, Paras, lizard
Timothy Mayert, Ditto, clam
Alva Moore, Articuno, dog
Ms. Charlyn Lynch, Jigglypuff, grasshopper
Margareta Emard, Dodrio, bat
Ina McLaughlin, Magnemite, wildebeest
Irma Boehm, Cloyster, woodchuck
Dr. Emilio Ritchie, Ditto, otter
Thao Abbott, Vileplume, lion
Dr. Carmelita Luettgen, Nidoking, seal
Lucile McLaughlin, Poliwrath, gorilla
Odis Christiansen II, Golduck, manatee
Mrs. Yaeko Hoeger, Goldeen, hare
Lavern Wolff, Machop, scorpion
Jeraldine Bartell, Rhydon, chinchilla
Ms. Jeraldine Graham, Bellsprout, monkey
Tawanna Casper III, Articuno, kangaroo
Zana Hintz, Eevee, herring
Larue Mayert, Alakazam, water buffalo
Ehtel Kshlerin, Seadra, clam
Miss Mack Dickens, Shellder, termite
Derick Hegmann, Nidoran, wildebeest
Drucilla Hoppe, Nidorina, snake
Darren Waelchi, Meowth, worm
Tyson Kohler, Meowth, armadillo
Gerard O'Conner, Snorlax, serval
Miss Adalberto Boyle, Goldeen, sardine
Miss Shayne Schroeder, Magneton, sheep
Mr. Isela Dare, Seadra, dolphin
Dr. Jutta Hirthe, Arbok, whale
Ebony Mills, Gyarados, antelope
Lovie Schaefer, Drowzee, skunk
Patrice Grant, Machop, kangaroo
Galen Johns, Pikachu, wombat
Rozanne Kutch DDS, Cloyster, trout
Lino Ryan, Clefable, cat
Rickey Schaefer, Magikarp, water buffalo
Sebastian Kihn, Ninetales, antelope
Cathey Gleichner, Seel, fly
Glinda Conroy, Tauros, gorilla
Faustino Beer, Jigglypuff, pig
Alfred Schowalter, Voltorb, beaver
Morgan Mante, Horsea, mosquito
Wallace Koss, Paras, wolf
Mr. Soila Cummerata, Slowpoke, oyster
