Moses Kris, Charmander, rat
Monique Mayert, Dragonair, snail
Graig Johnston, Charmander, wasp
Ms. Annamae Rau, Rhydon, ox
Laurence Walter, Rattata, wombat
Glenna Fahey Sr., Machoke, herring
Ike Kerluke, Nidoran, pug
Lenard Connelly, Koffing, donkey
Demarcus Emard, Sandshrew, baboon
Benton Fisher II, Sandslash, walrus
Arianne Strosin, Tentacruel, donkey
Harlan Murazik, Diglett, mole
Mrs. Arron McLaughlin, Squirtle, manatee
Dr. Ardelle Predovic, Jolteon, crocodile
Suzy Lind, Mew, donkey
Pearline Abshire, Alakazam, water buffalo
Pearle Jacobs, Arbok, hippopotamus
Curtis Watsica, Goldeen, baboon
Yanira Price, Kakuna, salmon
Leigha Kris, Rapidash, fly
Londa Friesen, Bellsprout, jellyfish
Codi Medhurst, Nidoqueen, gerbil
Tegan Schmitt, Venonat, dinosaur
Rudolph Breitenberg DVM, Farfetch'd, koala
Kelvin Kuphal, Arbok, duck
Harland Auer, Omastar, mouse
Brunilda Upton, Psyduck, lion
Ms. Sylvester Erdman, Mankey, monkey
Susanne Wiegand, Magikarp, macaw
Cedrick Dicki, Persian, otter
Belia Jacobson, Graveler, cicada
Orlando Hegmann, Charizard, manatee
Matthew Price, Kabutops, raven
Shirlee Nicolas, Pidgeotto, dinosaur
Leia Sauer, Tentacruel, alpaca
Mr. Mariano Kris, Poliwag, mosquito
Ted Goyette, Gastly, herring
Ms. Ladonna McGlynn, Staryu, mole
Rigoberto Leannon, Chansey, elk
Renay Rogahn, Muk, donkey
Dario Koepp, Oddish, grasshopper
Latosha Parisian Sr., Nidoran, dinosaur
Carolyn Rogahn DVM, Persian, water buffalo
Jason Abbott, Psyduck, panda
Alina Pollich, Zubat, water buffalo
Dierdre Lesch, Zapdos, hamster
Mr. George Von, Kabuto, ox
Alton Farrell Sr., Tentacool, crow
Samara Corwin V, Weepinbell, tiger
Joaquin Rogahn, Staryu, mallard
