Russel Emard, Ivysaur, chinchilla
Lonny Kautzer, Kabutops, cheetah
Anika Nolan, Poliwhirl, turtle 
Jalisa Gerlach, Dodrio, clam
Arlinda Waelchi, Nidorino, gerbil
Jeanne Runolfsson, Tentacool, leopard
Tomas Fisher, Gyarados, wombat
Dominick Wintheiser, Clefable, snail
Lakisha Bins, Krabby, shark
Abraham Durgan III, Weepinbell, ferret
Jarred Beier, Raichu, coyote
Tommie Dibbert, Snorlax, snail
Guillermo Cremin, Exeggutor, mammoth
Trevor Satterfield, Lapras, whale
Jean Shanahan, Golbat, mallard
Dr. Jessie Bartell, Koffing, alligator
Jennell Labadie, Venonat, goat
Shasta Crooks, Primeape, gnat
Mohamed Herman, Horsea, porcupine
Tad Halvorson, Meowth, tortoise
Ms. Pamula White, Persian, sardine
Efrain Ward, Kakuna, crocodile
Zackary Lakin, Pidgeot, otter
Grover Gottlieb, Growlithe, gnu
Tandy Leuschke, Arcanine, snail
Meredith Prohaska, Moltres, locust
Elouise Weimann, Zubat, hyena
Mathew Gutkowski, Pidgeotto, zebra
Corey Runolfsdottir, Caterpie, jellyfish
Tera Hamill, Marowak, hamster
Devin Pollich III, Pidgeotto, alpaca
Terence Kessler, Marowak, donkey
Jess Gutmann MD, Slowbro, wallaby
Milton Goyette, Persian, bear
Luciano Windler PhD, Kabutops, ape
Ms. Saul O'Reilly, Wigglytuff, hyena
Jesus Gorczany DDS, Shellder, chinchilla
Josette Champlin, Venusaur, worm
Winfred Dickens, Wartortle, platypus
Wilber Simonis, Zapdos, tiger
Tad Tillman, Hypno, hound
Rolland Lemke, Venonat, goat
Patricia Yost, Drowzee, sheep
Mr. Carola Prosacco, Ivysaur, wildebeest
Jackie Rempel II, Pidgeotto, yellowjacket
Jama Heathcote, Rattata, jellyfish
Kris Toy, Articuno, goldfish
Jose Sauer, Kabuto, hippopotamus
Rubi Beahan V, Seadra, wallaby
Chang Sanford, Growlithe, muskrat
