Gerald Dietrich, Sandslash, chimpanzee
Lanny Dibbert, Bulbasaur, crocodile
Ryan Lowe, Spearow, lion
Wally Rodriguez, Diglett, sardine
Waltraud Kertzmann, Magnemite, gnat
Lou Hansen, Goldeen, wildebeest
Kizzie Schaefer DDS, Vaporeon, tiger
Hae Batz, Eevee, yellowjacket
Marguerita Douglas, Dodrio, cattle
Walter Larkin, Dragonair, goat
Miss Stacey Schamberger, Articuno, turtle 
Gayle Nader Jr., Tentacruel, hyena
Freeman Aufderhar, Chansey, muskrat
Mauro Schmeler, Nidoking, tortoise
Jeanmarie Kilback IV, Tentacool, duck
Ahmad Botsford, Gastly, hornet
Weston Steuber, Parasect, eel
Louie Miller, Lapras, wolf
Miss Mistie Rempel, Mr. Mime, locust
Zada Reynolds V, Kangaskhan, beaver
Jacques Greenholt IV, Pikachu, hippopotamus
Danial Muller, Flareon, koala
Brendon Harvey, Pidgey, chinchilla
Howard Bradtke, Dugtrio, water buffalo
Kip Conn, Nidoqueen, muskrat
Marcelo Jacobson Jr., Jigglypuff, tiger
Daria Dach, Poliwag, dog
Mrs. Keira Kshlerin, Spearow, turtle 
Alvina Kovacek, Vulpix, skunk
Harley Schinner, Porygon, sheep
Jacquelin Dibbert, Vaporeon, lion
Seth Murazik, Bulbasaur, salmon
Tricia Sanford, Snorlax, turtle 
Ms. Vance Murphy, Arcanine, rhinoceros
Cody Hauck, Marowak, woodchuck
Tanna Rodriguez, Raticate, cicada
Jesenia Lang, Scyther, wasp
Mr. Hung Graham, Staryu, alpaca
Mr. Elina Boyle, Kingler, hedgehog
Ms. Roman Williamson, Golem, goose
Shalanda Flatley, Venomoth, giraffe
Keisha McClure, Kakuna, goose
Mr. Norbert Lind, Onix, goose
Owen Grant IV, Dugtrio, oyster
Lakia Abernathy, Zubat, mosquito
Dr. Chanelle Prosacco, Arcanine, wombat
Rene Kerluke, Kangaskhan, hyena
Kayleen Ernser, Goldeen, water buffalo
Miss Garland Hartmann, Pinsir, llama
Winston Batz, Wigglytuff, frog
