Vanda Wuckert MD, Venusaur, elk
Cecila Gislason, Rapidash, oyster
Linnea Kiehn, Articuno, frog
Robt Kerluke, Rhydon, toad
Porter Waters, Staryu, walrus
Lyman Boyle III, Poliwag, mule
Michael Abernathy, Wartortle, fly
Caitlyn Kub, Pidgeotto, cheetah
Ms. Tyson Bayer, Spearow, baboon
Michale Kemmer, Weepinbell, alpaca
Alysha Farrell DVM, Snorlax, caribou
Clayton O'Connell, Lickitung, seal
Vanda Effertz, Golduck, ox
Man Hoeger, Mewtwo, hare
Jarred Huel, Rhydon, mole
Casey Hackett, Magneton, hornet
Courtney Emmerich, Tangela, gnu
Garry O'Conner MD, Gyarados, llama
Katheleen Stanton, Wigglytuff, armadillo
Ryan Gleichner, Gengar, turtle 
Arlen Hessel, Nidoran, jackal
Mrs. Lorriane Hills, Growlithe, cod
Bernard Schultz IV, Pikachu, lizard
Tiana Wolf, Butterfree, turtle 
Travis Rowe, Nidoking, badger
Forest Howell, Chansey, ox
Tricia Hilpert, Pikachu, cheetah
Pat Little PhD, Sandshrew, impala
Darrel Schamberger, Marowak, lion
Dionne Deckow, Rattata, snail
Nigel Goodwin, Staryu, muskrat
Hal Weber, Nidorino, hyena
Erwin Kilback, Seadra, whale
Casie Kulas, Haunter, mosquito
Cythia Jacobson, Vaporeon, hyena
Antony Braun, Zubat, crocodile
Audrey Hegmann, Sandslash, dinosaur
Hoyt Parker, Rattata, chinchilla
Therese Jerde, Gyarados, monkey
Alfred Runte, Exeggcute, swan
Lashawna Littel, Seaking, leopard
Glenn Pagac, Moltres, rabbit
Ms. Shayne Carter, Exeggcute, dog
Napoleon Kassulke, Machoke, hornet
Rosita Effertz, Moltres, platypus
Alfonzo McLaughlin, Pinsir, jellyfish
Claude Feeney, Exeggcute, ox
Carie Hansen, Cloyster, cicada
Alta Kihn, Doduo, muskrat
Janise Greenholt I, Clefairy, giraffe
