Loyd Kunde, Kadabra, armadillo
Sol Tillman, Tentacruel, reindeer
Dayna Crist II, Tentacool, grasshopper
Brice Renner, Seadra, cricket
Daren Walker, Graveler, rhinoceros
Mari Kuphal IV, Electrode, grasshopper
Earl Pacocha, Machop, serval
Terrance Dietrich, Hitmonchan, mink
Katherin Koch, Machoke, crab
Mrs. Kymberly Kuphal, Bulbasaur, wildebeest
Christinia Kessler, Nidorina, beetle
Jim Wiegand, Kadabra, impala
Miss Fatimah Yost, Chansey, macaw
Willie Nicolas, Gyarados, sea lion
Alfredo Greenholt, Growlithe, lizard
Kareem Maggio II, Jigglypuff, guinea pig
Fatima Dickinson, Charizard, cod
Blanca Stamm, Grimer, camel
Jolanda Wiza, Metapod, rat
Candie Macejkovic, Gastly, cod
Hobert Strosin, Raichu, wildebeest
Jimmy McCullough, Hitmonlee, gerbil
Britni Fadel, Articuno, tiger
Elias Boyle, Tangela, walrus
Shenna Welch Jr., Magnemite, minnow
Mattie Upton, Dodrio, hornet
Avery Koelpin, Voltorb, alligator
Victor Leffler, Rhyhorn, chimpanzee
Carol Hills I, Wigglytuff, otter
Mr. Brittni Kemmer, Poliwag, porcupine
Miss Nathanial Beer, Hitmonchan, snail
Erik Mueller, Abra, swan
Rayford Cronin, Pikachu, herring
Gil Casper Jr., Flareon, wallaby
Carylon Hamill, Magmar, seal
Leroy Moore MD, Venusaur, pug
Alonso Harber MD, Ivysaur, sardine
Frida Schuster, Golduck, mallard
Shavonda Greenholt III, Exeggcute, fly
Floria Kozey, Voltorb, water buffalo
Omar Vandervort, Doduo, lizard
Lecia Oberbrunner, Charmander, prairie dog
Luis Tremblay MD, Magikarp, goldfish
Mack DuBuque, Exeggutor, baboon
Antoinette Homenick, Rhyhorn, jackal
Ms. Kimi Torp, Kabuto, serval
Rosana Hilpert, Golbat, goose
Werner Stehr, Butterfree, cicada
Mrs. Rolland Hettinger, Poliwhirl, caribou
Sharron Reynolds, Wigglytuff, snake
