Hugh Wunsch PhD, Slowbro, pig
Renaldo Labadie, Kangaskhan, cod
Jordon Hansen, Charmeleon, tortoise
Lionel Stoltenberg, Seaking, serval
Dr. Caren Borer, Kabuto, mink
Theo Daniel, Mankey, porpoise
Cody Crooks, Dratini, fox
Shelia Ondricka, Poliwhirl, trout
Dr. Ashton Jones, Dratini, herring
Tandy Pollich, Tentacruel, pig
Afton Ledner, Blastoise, raven
Steven Gusikowski, Wigglytuff, frog
Connie Bogan, Kakuna, goldfish
Beula Hackett, Venonat, ape
Ms. Russel Emard, Flareon, armadillo
Miss Scott Yundt, Nidoran, swan
Rosy Schultz, Jolteon, guinea pig
Ray West, Magmar, serval
Isaias Hegmann, Rapidash, sea lion
Erma Denesik, Butterfree, fox
Marshall Keeling II, Parasect, swan
Blythe Hahn, Alakazam, bear
Mrs. Bernard Fadel, Weedle, spider
Xavier Krajcik, Zapdos, zebra
Sybil Spinka, Pinsir, hippopotamus
Leandro Weber, Magneton, cockroach
Ms. Lelah Rempel, Paras, pug
Leandro Swaniawski, Poliwhirl, crab
Mr. Nelida Flatley, Muk, bee
Walker Conn, Tauros, skunk
Kaye Rippin, Poliwrath, camel
Billie Mills, Machop, camel
Mr. Darren Rodriguez, Muk, goose
Bruno Schmidt, Graveler, macaw
Dr. Ina Abernathy, Magmar, locust
Mrs. Winston Tromp, Weezing, hornet
Estella Larkin, Gyarados, deer
Kam Considine, Charmander, eagle
Petrina Hirthe, Lapras, salmon
Dr. Rosy Padberg, Lapras, mink
Elwood Zboncak IV, Machamp, swan
Deb Breitenberg, Pidgeotto, wallaby
Nery Senger, Tauros, cattle
Dr. Taryn Gusikowski, Lickitung, wasp
Stacey Schamberger, Arcanine, eel
Otilia Kautzer, Electabuzz, ferret
Mrs. Ernest Dicki, Muk, gnat
Abraham Kerluke I, Golbat, locust
Miss Jordan Bergstrom, Poliwrath, locust
Jasper Pollich, Kingler, deer
