Frankie Schowalter, Shellder, mink
Donya Kautzer, Doduo, bat
Ronald Kautzer, Omanyte, ant
Mrs. Luise Larson, Hypno, alpaca
Mercedez Toy, Gyarados, duck
Ms. Karyn Deckow, Wigglytuff, ant
Jeni Blanda, Mew, cockroach
Lemuel Shanahan PhD, Gyarados, goldfish
Robby Reynolds, Jynx, spider
Sena Morar, Nidoran, ape
Mr. Otha Gerlach, Vaporeon, rabbit
Chet King, Machamp, monkey
Marcella Predovic, Ivysaur, reindeer
Sue Ward, Beedrill, spider
Yuette Herzog, Ponyta, duck
Albert Leffler PhD, Seadra, dinosaur
Steffanie Collier DDS, Poliwag, rat
Ena Gibson, Magikarp, trout
Miss Jack Koss, Nidorino, lion
Jerrell Terry II, Tangela, clam
Santiago Borer, Weedle, wombat
Ulysses Grant, Ditto, cattle
Dr. Catheryn Larson, Magmar, skunk
Suzette Gorczany, Diglett, hyena
Pamella Weber, Grimer, locust
Shery Greenfelder, Vaporeon, bat
Deshawn Larkin, Slowbro, caribou
Cruz Russel, Doduo, porpoise
Sherlyn Koepp, Shellder, caribou
Paz McLaughlin PhD, Blastoise, coyote
Hermine Kshlerin Sr., Mewtwo, prairie dog
Ms. Lawerence Schumm, Shellder, donkey
Doreatha Breitenberg, Magikarp, ape
Terry Bauch DDS, Chansey, lizard
Ms. Malcolm Tremblay, Geodude, guinea pig
Robby Wilkinson DVM, Haunter, lizard
Kathlyn Nicolas, Paras, snake
Tommy Cremin, Scyther, camel
Mrs. Tawna Homenick, Caterpie, eagle
Joella Leannon, Cubone, reindeer
Luther Greenholt III, Porygon, dinosaur
Max Koepp, Lickitung, moose
Melvin Swift, Omanyte, oyster
Francesca Becker, Poliwhirl, beetle
Miss Mika Kuhlman, Kabutops, scorpion
Tonisha Lowe, Onix, serval
Hershel Goodwin, Exeggcute, gnat
Stefani Keeling I, Golem, platypus
Stuart McGlynn, Clefairy, ant
Dr. Derek Zboncak, Diglett, toad
